Galaxy_ID,N_points,Has_bulge,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,chi2_reduced_nuisance_GOD,Yd_fit,Yb_fit,fd_fit,RMS_pct_strict,a0_m_s2
CamB,9,0,128.483,143.6805,38.0823,0.25,0.7,1.15,64.3,1.042115e-10
D512-2,4,0,6.4001,8.6145,0.2642,0.55,0.7,1.0,22.55,1.042115e-10
D564-8,6,0,23.6877,29.1911,2.4482,0.25,0.7,1.15,33.15,1.042115e-10
D631-7,16,0,27.2113,33.8825,9.6484,0.25,0.7,1.15,26.55,1.042115e-10
DDO064,14,0,0.5956,0.8999,0.3218,0.65,0.7,0.925,13.01,1.042115e-10
DDO154,12,0,14.0377,21.94,0.8148,0.35,0.7,0.925,15.45,1.042115e-10
DDO161,31,0,97.5649,132.7267,27.605,0.25,0.7,1.15,28.27,1.042115e-10
DDO168,10,0,20.2813,27.3893,14.4111,0.45,0.7,1.025,18.39,1.042115e-10
DDO170,8,0,119.6823,168.2389,29.4172,0.25,0.7,1.15,20.46,1.042115e-10
ESO079-G014,15,0,3.7564,7.744,3.457,0.95,0.7,0.95,11.82,1.042115e-10
ESO116-G012,15,0,7.9735,4.866,5.2584,1.05,0.7,0.85,9.15,1.042115e-10
ESO444-G084,7,0,36.2044,28.5762,18.3068,1.55,0.7,0.85,27.17,1.042115e-10
ESO563-G021,30,0,20.6213,18.2787,17.9348,1.05,0.7,0.85,20.46,1.042115e-10
F561-1,6,0,49.713,57.4413,8.0328,0.25,0.7,1.15,44.46,1.042115e-10
F563-1,17,0,2.4381,1.9174,1.8811,1.05,0.7,0.85,27.12,1.042115e-10
F563-V1,6,0,38.3906,43.4134,18.5266,0.25,0.7,1.15,54.41,1.042115e-10
F563-V2,10,0,3.454,2.8462,3.0079,1.05,0.7,0.85,31.71,1.042115e-10
F565-V2,7,0,1.2966,0.7491,2.172,0.75,0.7,0.85,14.56,1.042115e-10
F567-2,5,0,11.0838,13.5702,2.0492,0.45,0.7,1.05,34.99,1.042115e-10
F568-1,12,0,5.4327,4.3881,2.2747,1.25,0.7,0.85,33.88,1.042115e-10
F568-3,18,0,4.2781,5.3537,2.9592,0.75,0.7,0.975,18.64,1.042115e-10
F568-V1,15,0,6.3572,5.2136,1.3359,1.35,0.7,0.85,28.04,1.042115e-10
F571-8,13,0,52.1231,51.6774,44.4623,0.75,0.7,0.85,34.73,1.042115e-10
F571-V1,7,0,0.9968,1.9416,0.3029,0.65,0.7,0.975,13.32,1.042115e-10
F574-1,14,0,1.6848,2.2212,2.0658,0.95,0.7,0.95,11.63,1.042115e-10
F574-2,5,0,26.7268,29.9795,12.1578,0.25,0.7,1.15,61.45,1.042115e-10
F579-V1,14,0,2.3812,2.3123,2.8828,0.95,0.7,0.9,24.48,1.042115e-10
F583-1,25,0,1.8914,1.7856,1.8521,1.05,0.7,0.975,20.63,1.042115e-10
F583-4,12,0,4.7558,7.041,0.1662,0.65,0.7,0.95,15.59,1.042115e-10
IC2574,34,0,106.7752,134.612,0.694,0.25,0.7,1.05,30.78,1.042115e-10
IC4202,32,1,53.8211,56.8087,32.7414,1.05,0.75,1.05,18.89,1.042115e-10
KK98-251,15,0,24.9762,31.0232,9.1278,0.25,0.7,1.15,36.18,1.042115e-10
NGC0024,29,0,5.9458,4.2854,0.6634,1.25,0.7,0.875,22.93,1.042115e-10
NGC0055,21,0,45.0892,60.3929,0.6204,0.25,0.7,1.0,21.28,1.042115e-10
NGC0100,21,0,5.125,7.2657,1.539,0.75,0.7,0.925,20.53,1.042115e-10
NGC0247,26,0,6.7878,13.0612,2.6669,0.95,0.7,1.15,8.28,1.042115e-10
NGC0289,28,0,18.4835,27.4609,4.6963,0.85,0.7,1.15,15.87,1.042115e-10
NGC0300,25,0,1.5796,1.9374,1.4654,0.95,0.7,0.9,6.71,1.042115e-10
NGC0801,13,0,198.2997,244.5517,21.836,0.75,0.7,1.15,22.43,1.042115e-10
NGC0891,18,1,274.9294,297.7226,19.5968,0.75,0.65,0.85,23.28,1.042115e-10
NGC1003,36,0,23.92,39.923,4.047,0.65,0.7,0.875,12.0,1.042115e-10
NGC1090,24,0,105.7545,146.6081,4.5744,0.75,0.7,1.15,21.23,1.042115e-10
NGC1705,14,0,10.6874,8.2334,0.9211,1.35,0.7,0.85,26.65,1.042115e-10
NGC2366,26,0,23.6883,32.1665,1.8206,0.35,0.7,1.15,25.98,1.042115e-10
NGC2403,73,0,28.2942,31.0184,16.5649,0.85,0.7,0.85,8.02,1.042115e-10
NGC2683,11,1,12.0219,15.6726,2.8621,0.85,0.85,1.05,14.48,1.042115e-10
NGC2841,50,1,44.5039,29.6172,3.3851,1.25,0.85,0.85,12.7,1.042115e-10
NGC2903,34,0,229.4146,262.8723,41.5199,0.85,0.7,0.9,24.92,1.042115e-10
NGC2915,30,0,6.7347,5.4684,3.3014,1.35,0.7,0.85,33.31,1.042115e-10
NGC2955,24,1,65.929,68.7874,4.6811,0.75,0.85,0.925,16.33,1.042115e-10
NGC2976,27,0,9.3718,11.8569,1.6317,0.75,0.7,0.95,23.72,1.042115e-10
NGC2998,13,0,50.705,83.0517,4.3284,0.85,0.7,1.15,28.49,1.042115e-10
NGC3109,25,0,6.7096,6.1468,6.3757,0.75,0.7,0.85,15.29,1.042115e-10
NGC3198,43,0,57.9775,91.8767,4.8802,0.85,0.7,1.15,17.9,1.042115e-10
NGC3521,41,0,28.4369,28.8844,1.4026,0.75,0.7,0.85,20.1,1.042115e-10
NGC3726,12,0,60.6713,73.4797,2.892,0.65,0.7,0.975,21.47,1.042115e-10
NGC3741,21,0,2.9367,2.3997,1.7277,0.65,0.7,0.85,12.68,1.042115e-10
NGC3769,12,0,13.0276,17.295,1.1409,0.65,0.7,0.875,18.17,1.042115e-10
NGC3877,13,0,44.9466,51.4703,8.0784,0.75,0.7,1.0,25.19,1.042115e-10
NGC3893,10,0,14.1993,15.8416,3.1852,0.85,0.7,0.875,12.47,1.042115e-10
NGC3917,17,0,7.0546,11.951,3.2368,0.85,0.7,0.925,13.93,1.042115e-10
NGC3949,7,0,33.7852,35.5375,0.7729,0.75,0.7,0.975,19.21,1.042115e-10
NGC3953,8,0,25.1107,30.2593,1.4801,0.85,0.7,1.05,12.86,1.042115e-10
NGC3972,10,0,2.106,3.5426,1.8699,0.85,0.7,0.85,9.8,1.042115e-10
NGC3992,9,0,3.0335,7.2254,2.9718,0.95,0.7,1.0,4.62,1.042115e-10
NGC4010,12,0,10.5586,14.4773,2.4962,0.75,0.7,0.925,17.36,1.042115e-10
NGC4013,36,1,35.5627,46.0076,1.4284,0.75,0.95,0.975,12.87,1.042115e-10
NGC4051,7,0,36.2238,41.713,2.4489,0.65,0.7,0.9,23.18,1.042115e-10
NGC4068,6,0,30.465,37.207,0.4579,0.25,0.7,1.075,42.26,1.042115e-10
NGC4085,7,0,46.6211,50.9492,5.6258,0.65,0.7,0.85,31.23,1.042115e-10
NGC4088,12,0,91.2027,101.3888,0.9556,0.65,0.7,1.15,28.93,1.042115e-10
NGC4100,24,0,5.1746,8.7033,1.7901,0.95,0.7,1.125,7.53,1.042115e-10
NGC4138,7,1,3.2173,4.0247,2.6566,0.85,0.85,0.95,11.77,1.042115e-10
NGC4157,17,1,34.9857,41.4776,0.5585,0.75,0.55,1.075,20.09,1.042115e-10
NGC4183,23,0,5.7619,9.2476,1.7256,0.85,0.7,1.15,10.25,1.042115e-10
NGC4214,14,0,2.9744,2.1151,1.7159,1.05,0.7,0.85,21.61,1.042115e-10
NGC4217,19,1,95.2656,99.72,1.9116,1.35,0.45,0.85,30.0,1.042115e-10
NGC4389,6,0,99.4174,104.4148,4.8831,0.35,0.7,0.925,50.3,1.042115e-10
NGC4559,32,0,26.2005,35.7698,0.7884,0.65,0.7,1.025,19.18,1.042115e-10
NGC5005,18,1,14.557,14.7472,0.2325,0.85,0.65,1.0,18.93,1.042115e-10
NGC5033,22,1,19.7351,29.5733,13.3244,1.05,0.45,0.95,12.1,1.042115e-10
NGC5055,28,0,1899.1883,2050.9183,27.5922,0.65,0.7,0.875,24.83,1.042115e-10
NGC5371,19,0,413.3597,483.0322,47.7711,0.75,0.7,1.15,22.4,1.042115e-10
NGC5585,24,0,54.2568,68.7812,9.0287,0.65,0.7,0.85,20.42,1.042115e-10
NGC5907,19,0,101.7352,161.7872,16.2908,0.85,0.7,1.15,10.35,1.042115e-10
NGC5985,33,1,80.4013,64.9138,8.2922,1.15,1.75,0.925,24.44,1.042115e-10
NGC6015,44,0,10.54,16.0271,10.6889,0.95,0.7,1.0,6.58,1.042115e-10
NGC6195,23,1,90.0249,100.0687,1.9035,0.65,0.85,0.975,19.12,1.042115e-10
NGC6503,31,0,44.1184,81.3787,4.5927,0.85,0.7,0.95,9.08,1.042115e-10
NGC6674,15,1,16.1357,44.1307,7.2713,0.95,1.55,1.15,5.68,1.042115e-10
NGC6789,4,0,5.3847,4.6992,12.7305,0.85,0.7,0.875,43.72,1.042115e-10
NGC6946,58,1,177.0859,205.7496,1.9347,0.75,0.75,0.875,18.07,1.042115e-10
NGC7331,36,1,225.8796,256.2137,5.66,0.75,0.25,0.875,21.64,1.042115e-10
NGC7793,46,0,3.2219,4.1871,0.845,0.85,0.7,1.05,18.0,1.042115e-10
NGC7814,18,1,23.3856,15.4443,3.5436,1.45,0.75,0.85,11.7,1.042115e-10
PGC51017,6,0,142.4919,160.4583,73.3374,0.25,0.7,1.15,51.02,1.042115e-10
UGC00128,22,0,47.9462,87.8072,35.6367,1.05,0.7,1.15,9.13,1.042115e-10
UGC00191,9,0,15.7925,30.8776,7.0151,0.95,0.7,1.15,9.43,1.042115e-10
UGC00634,4,0,4.544,1.7726,2.8229,0.95,0.7,0.875,5.36,1.042115e-10
UGC00731,12,0,10.8093,10.6728,8.0467,1.35,0.7,1.075,23.34,1.042115e-10
UGC00891,5,0,20.3949,35.7001,8.013,0.45,0.7,0.875,18.53,1.042115e-10
UGC01230,11,0,2.9844,3.6635,3.902,0.75,0.7,1.025,19.55,1.042115e-10
UGC01281,25,0,1.6098,2.1084,1.0176,0.65,0.7,0.9,29.23,1.042115e-10
UGC02023,5,0,3.7514,4.5528,0.5426,0.45,0.7,1.0,35.57,1.042115e-10
UGC02259,8,0,26.5217,16.5843,6.4484,1.25,0.7,0.975,21.0,1.042115e-10
UGC02455,8,0,166.5211,180.3577,5.886,0.25,0.7,1.15,57.23,1.042115e-10
UGC02487,17,1,115.3648,68.8908,4.9777,1.35,0.65,1.15,11.78,1.042115e-10
UGC02885,19,1,2.4359,4.6232,0.8255,0.85,1.05,0.875,5.36,1.042115e-10
UGC02916,43,1,266.9406,279.3773,12.5161,1.15,0.75,0.875,17.06,1.042115e-10
UGC02953,115,1,60.9853,60.0432,18.9241,0.95,0.85,0.85,21.31,1.042115e-10
UGC03205,48,1,6.0002,13.5324,3.542,0.95,1.05,1.05,7.06,1.042115e-10
UGC03546,30,1,83.827,122.2127,1.2452,0.95,0.55,1.0,22.08,1.042115e-10
UGC03580,47,1,149.798,175.1752,2.4715,0.75,0.25,0.85,28.54,1.042115e-10
UGC04278,25,0,2.6836,3.0533,2.6666,0.85,0.7,0.85,16.6,1.042115e-10
UGC04305,22,0,72.7856,83.1376,23.8014,0.25,0.7,1.15,47.5,1.042115e-10
UGC04325,8,0,20.3012,15.4188,7.6136,1.25,0.7,0.875,24.23,1.042115e-10
UGC04483,8,0,9.0559,12.4927,1.5743,0.35,0.7,1.15,24.29,1.042115e-10
UGC04499,9,0,11.7116,18.132,1.7579,0.65,0.7,1.025,17.28,1.042115e-10
UGC05005,11,0,3.3491,4.5092,0.2376,0.45,0.7,1.025,26.05,1.042115e-10
UGC05253,73,1,110.7687,116.8876,7.6213,0.95,0.85,0.85,13.64,1.042115e-10
UGC05414,6,0,16.9529,23.5569,0.536,0.55,0.7,0.975,21.17,1.042115e-10
UGC05716,12,0,8.2325,18.3561,6.4648,1.05,0.7,1.125,4.71,1.042115e-10
UGC05721,23,0,10.8086,8.5835,3.3947,1.35,0.7,0.85,26.25,1.042115e-10
UGC05750,11,0,4.8519,6.3284,0.9767,0.45,0.7,1.0,35.62,1.042115e-10
UGC05764,10,0,72.5279,56.1829,12.3429,1.75,0.7,0.85,29.47,1.042115e-10
UGC05829,11,0,2.0482,3.2827,0.7554,0.65,0.7,1.075,13.0,1.042115e-10
UGC05918,8,0,1.5126,2.4141,1.0451,0.65,0.7,0.975,10.26,1.042115e-10
UGC05986,15,0,15.0982,9.6355,6.9343,1.15,0.7,0.9,12.84,1.042115e-10
UGC05999,5,0,6.1199,9.1343,3.9058,0.55,0.7,0.975,15.74,1.042115e-10
UGC06399,9,0,0.3382,0.7349,0.5724,0.85,0.7,0.85,9.36,1.042115e-10
UGC06446,17,0,3.0031,1.8357,0.7742,1.15,0.7,0.875,12.56,1.042115e-10
UGC06614,13,1,12.9749,16.2113,0.7975,0.65,0.75,0.925,16.69,1.042115e-10
UGC06628,7,0,19.8294,22.6064,4.5171,0.25,0.7,1.125,45.79,1.042115e-10
UGC06667,9,0,24.9356,19.7851,5.494,1.55,0.7,0.85,36.19,1.042115e-10
UGC06786,45,1,89.379,60.9553,20.3212,1.25,0.75,0.85,11.43,1.042115e-10
UGC06787,71,1,119.6884,92.3227,24.9183,1.45,0.65,0.85,15.68,1.042115e-10
