# source: Ciocan B.I., Bouche N.F., Fensch J., Krajnovic D., Freundlich J., Desmond H., Famaey B., Techi R. 2026, A&A 709, L16, arXiv:2604.22613 (MUSE-DARK III)
# extracted: 2026-09-16 by hand from arXiv e-print paper_v4.tex (text/equations); NO per-galaxy table exists in the paper or on VizieR (J/A+A/709/L16 not found 2026-09-16)
# sample: 79 MUSE-HUDF SFGs, 0.33<z<1.44, complete above M*>10^8.8 Msun; RAR from 3D forward-modelled disk-halo decomposition with pressure-support correction; r<2 kpc excluded
# errors: 95% CI as stated in paper (NOT 1-sigma); units 1e-10 m/s^2
# local reference used by paper: a0(z=0)=1.2+-0.26 (Lelli+2017 SPARC RAR)
# per-bin a0 values: only endpoints stated in text (lowest bin ~1.99, highest 2.71); intermediate bins figure-only -> not reproduced
quantity,model,value,err_plus,err_minus,note
a0_z~1,DC14 halo (fiducial),2.38,0.12,0.10,full-sample RAR fit (abstract rounds to +-0.1)
a0_z~1,per-galaxy best-evidence LCDM profile (App.),2.61,0.13,0.09,appendix robustness test
a0_z~1,MOND framework RAR fit,2.19,0.12,0.10,appendix
a0_z~1_median_individual,MOND per-galaxy fits,2.27,,,range 0.13 to 9.6 across galaxies
a0(0),DC14 linear a0(0)+a1*z,1.0,0.04,0.04,
a1,DC14 linear a0(0)+a1*z,1.59,0.10,0.10,conclusions quote +0.11/-0.10
a0(0),per-galaxy best-evidence profile linear,1.05,0.05,0.05,
a1,per-galaxy best-evidence profile linear,1.63,0.13,0.12,
a0(0),MOND linear,1.03,0.05,0.05,
a1,MOND linear,1.20,0.10,0.10,
a0(0),per-galaxy MOND regression,1.11,0.39,0.51,
a1,per-galaxy MOND regression,1.42,0.94,0.89,
a0_lowest_zbin,DC14,1.99,,,approx ("~") in text
a0_highest_zbin,DC14,2.71,,,
