# Published high-z Tully-Fisher fit parameters, transcribed from the arXiv LaTeX sources (2026-09-16).
# e-print sha256: 1703.04321 27903922c3362f9bbb989679669cd485510981f91fca6d336d32cd84afda99fb; 1701.05561 1d8a45dce5bf8bd0cd6ba0d1c899bcd3b6112221b5ddd7195635b060b48f378e; 1810.07202 60e435eef57b04ada920fd18bf335f69d0f79f93942626fb30d871eb7f1fd7aa; 1811.05982 180c2cf5a042b20af2db7f846858f29d91e8ffe6e23c6196936f80803364f559; 1604.06103 822440d8bfb96d339f37d0256fe778c303e0a1295d70cad2bcac6540e67a8eb3; 1902.09554 710730417ada00c890b0335990273931a33de865b26d83cfd82f918d07175b00; 2005.00279 6b3289e27e7c45e0f8c738eb7909adcd58f69db8193c8024726ac28cb850f635
# Scatter columns: Ubler = intrinsic scatter zeta_int in dex of mass (errors not given);
#   Tiley+2016 = sigma_int (dex of mass); Tiley+2019a = sigma_int,vert (dex of mass).
# Table numbers follow the order of table environments in the arXiv source (VizieR's table3/tablea1
#   names agree with that order for Ubler and Tiley+2019a).
# Price+2020 (MOSDEF, ApJ 894 91, arXiv:1902.09554) publishes NO TF fit and NO per-galaxy table;
#   its Table 4 gives median log10(Mdyn/Mbar) per bin -- not transcribed here (see agent notes).
# Tiley+2019b (MNRAS 485 934, arXiv:1811.05982) publishes no TF fit and no tables (stacked rotation curves).
# Distance: every zero-point is in log M, and M scales as D_L^2 under each paper's cosmology.
paper,arxiv,table_or_section,relation,sample,z_range,z_typical,N,form,slope,slope_err,slope_status,zero_point,zero_point_err,pivot,scatter_int,scatter_int_err,offset_vs_z0,offset_vs_z0_err,offset_reference,velocity,pressure_corrected,mass_def,cosmology_imf
Ubler+2017 ApJ 842 121,1703.04321,Table 2,sTFR,full TFR sample,0.6-2.6,,135,"log(M/Msun) = a*log(vcirc/vref) + b; vref=242 km/s (inverse regression, mpfitexy; b bootstrapped)",3.6,,fixed to Reyes+2011 (1/0.278); Reyes zero-point shifted -0.034 dex Kroupa->Chabrier,10.5,0.03,vref=242 km/s,0.22,,,,Reyes+2011 (Fig. 5 caption),"vcirc,max (DYSMAL max modelled circular velocity)","yes (Burkert+2010, eq. 1)","M* SED (BC03), 0.15 dex",flat LCDM H0=70 Om=0.3 OL=0.7; Chabrier
Ubler+2017 ApJ 842 121,1703.04321,Table 2; Fig. 5,sTFR,YJ subsample,0.602-1.032 (YJ),0.9,65,"log(M/Msun) = a*log(vcirc/vref) + b; vref=242 km/s (inverse regression, mpfitexy; b bootstrapped)",3.6,,fixed to Reyes+2011 (1/0.278); Reyes zero-point shifted -0.034 dex Kroupa->Chabrier,10.49,0.04,vref=242 km/s,0.21,,-0.44,,Reyes+2011 (Fig. 5 caption),"vcirc,max (DYSMAL max modelled circular velocity)","yes (Burkert+2010, eq. 1)","M* SED (BC03), 0.15 dex",flat LCDM H0=70 Om=0.3 OL=0.7; Chabrier
Ubler+2017 ApJ 842 121,1703.04321,Table 2; Fig. 5,sTFR,K subsample,2.028-2.529 (K),2.3,46,"log(M/Msun) = a*log(vcirc/vref) + b; vref=242 km/s (inverse regression, mpfitexy; b bootstrapped)",3.6,,fixed to Reyes+2011 (1/0.278); Reyes zero-point shifted -0.034 dex Kroupa->Chabrier,10.51,0.05,vref=242 km/s,0.26,,-0.42,,Reyes+2011 (Fig. 5 caption),"vcirc,max (DYSMAL max modelled circular velocity)","yes (Burkert+2010, eq. 1)","M* SED (BC03), 0.15 dex",flat LCDM H0=70 Om=0.3 OL=0.7; Chabrier
Ubler+2017 ApJ 842 121,1703.04321,Table 2,bTFR,full TFR sample,0.6-2.6,,135,"log(M/Msun) = a*log(vcirc/vref) + b; vref=242 km/s (inverse regression, mpfitexy; b bootstrapped)",3.75,,fixed to Lelli+2016 (SPARC BTFR),10.75,0.03,vref=242 km/s,0.23,,,,Lelli+2016 (Fig. 5 caption),"vcirc,max (DYSMAL max modelled circular velocity)","yes (Burkert+2010, eq. 1)","M_bar = M* + M_gas(Tacconi+2017, molecular); ~0.15 dex",flat LCDM H0=70 Om=0.3 OL=0.7; Chabrier
Ubler+2017 ApJ 842 121,1703.04321,Table 2; Fig. 5,bTFR,YJ subsample,0.602-1.032 (YJ),0.9,65,"log(M/Msun) = a*log(vcirc/vref) + b; vref=242 km/s (inverse regression, mpfitexy; b bootstrapped)",3.75,,fixed to Lelli+2016 (SPARC BTFR),10.68,0.04,vref=242 km/s,0.22,,-0.44,,Lelli+2016 (Fig. 5 caption),"vcirc,max (DYSMAL max modelled circular velocity)","yes (Burkert+2010, eq. 1)","M_bar = M* + M_gas(Tacconi+2017, molecular); ~0.15 dex",flat LCDM H0=70 Om=0.3 OL=0.7; Chabrier
Ubler+2017 ApJ 842 121,1703.04321,Table 2; Fig. 5,bTFR,K subsample,2.028-2.529 (K),2.3,46,"log(M/Msun) = a*log(vcirc/vref) + b; vref=242 km/s (inverse regression, mpfitexy; b bootstrapped)",3.75,,fixed to Lelli+2016 (SPARC BTFR),10.85,0.05,vref=242 km/s,0.26,,-0.27,,Lelli+2016 (Fig. 5 caption),"vcirc,max (DYSMAL max modelled circular velocity)","yes (Burkert+2010, eq. 1)","M_bar = M* + M_gas(Tacconi+2017, molecular); ~0.15 dex",flat LCDM H0=70 Om=0.3 OL=0.7; Chabrier
Tiley+2016 MNRAS 460 103,1604.06103,Table 3,M* TFR,z~0 comparison (P05+R11+RH04),~0,0,,log(M*/Msun) = m*(log V80 - x0) + b; x0 = median log V80 (pivot column),3.68,0.08,free (bisector),10.2,0.01,2.17,0.16,0.01,,,,V80 = arctan-model rotation velocity at r80 (80% of Halpha flux),no,"literature M*, converted to Chabrier",H0=72 Om=0.27 OL=0.73; Chabrier
Tiley+2016 MNRAS 460 103,1604.06103,Table 3,M* TFR,KROSS all,0.8-1.0,,,log(M*/Msun) = m*(log V80 - x0) + b; x0 = median log V80 (pivot column),2.1,0.2,free (bisector),10.06,0.05,2.14,0.38,0.02,,,,V80 = arctan-model rotation velocity at r80 (80% of Halpha flux),no,"M* SED (HyperZ), uniform +-0.2 dex (Sec. 2.6)",H0=72 Om=0.27 OL=0.73; Chabrier
Tiley+2016 MNRAS 460 103,1604.06103,Table 3,M* TFR,KROSS disky (V80/sigma>3),0.8-1.0,,56,log(M*/Msun) = m*(log V80 - x0) + b; x0 = median log V80 (pivot column),4.7,0.4,free (bisector),10.0,0.3,2.25,0.25,0.05,,,,V80 = arctan-model rotation velocity at r80 (80% of Halpha flux),no,"M* SED (HyperZ), uniform +-0.2 dex (Sec. 2.6)",H0=72 Om=0.27 OL=0.73; Chabrier
Tiley+2016 MNRAS 460 103,1604.06103,Table 4,M* TFR,KROSS all,0.8-1.0,,210,log(M*/Msun) = m*(log V80 - x0) + b; x0 = median log V80 (pivot column),3.68,,fixed to z~0 comparison,10.08,0.04,2.14,0.58,0.03,0.02,0.08,Tiley+2016 z~0 composite,V80 = arctan-model rotation velocity at r80 (80% of Halpha flux),no,"M* SED (HyperZ), uniform +-0.2 dex (Sec. 2.6)",H0=72 Om=0.27 OL=0.73; Chabrier
