# KMOS3D -- Wisnioski, Foerster Schreiber, Fossati, et al. 2019, ApJ 886, 124, 'The KMOS3D Survey: data release and
# final survey paper' (arXiv:1909.11096v1). VizieR J/ApJ/886/124 (doi:10.26093/cds/vizier.18860124), tables 5 and 6.
# SOURCE table5: https://cdsarc.cds.unistra.fr/ftp/J/ApJ/886/124/table5.dat sha256 24b1b12ec42c1d2dfc6aca7d3e965fd78b3c8ff9a68e36a7441f9a1448196a95
# SOURCE table6: https://cdsarc.cds.unistra.fr/ftp/J/ApJ/886/124/table6.dat sha256 fb37854047c6fb2d2e77db28f439e553e12afea3227052238bd48d3ebc804459
# SOURCE ReadMe: https://cdsarc.cds.unistra.fr/ftp/J/ApJ/886/124/ReadMe sha256 7c0c129531f823c1cc603a195667c6c2b2e19f308a2c095868a9d5d2c62627bf
# CROSS-CHECK: MPE release catalogs https://www.mpe.mpg.de/resources/KMOS3D/catalogs/k3d_fnlsp_table_v3.fits.tgz (extracted) (sha256 be2716e3e73755c03b94e55f1ae8aaf8f447434eeefef9a3e45a97ad302b1dea)
#   and https://www.mpe.mpg.de/resources/KMOS3D/catalogs/k3d_fnlsp_table_hafits_v3.fits.tgz (extracted) (sha256 7ef8269d19e95652dc0f7891e4a1c42a03c45393aadc0f8b0ec0815237398711):
#   row counts 785/739, identical ID sets, and z / logM* / R_half agree (validator PASS). Source files in
#   02_galaxy_dynamics/highz_data/_src/ (gitignored, not committed). Built by scripts/highz_ingest_rc41_g17_kmos3d.py.
#
# *** NO KINEMATICS: the KMOS3D data release publishes NO rotation velocity, NO circular velocity, NO gas or baryonic
# *** mass and NO fDM per galaxy (VizieR table5/table6 and the MPE FITS contain none). sigma_int_kms is an
# *** aperture-integrated line width (1.5" radius circular aperture) -- NOT a disk sigma0 and NOT a rotation proxy.
# *** This file CANNOT feed the V^2/R or BTFR a0 routes by itself. It supplies z, M*, R_e and the ID crosswalk
# *** (original targeting IDs like U3_21388 -> KMOS3D U4_29145) used to de-duplicate RC41/RC100.
# PRESSURE SUPPORT: N/A (no rotation velocity in this release).
#
# CONVENTIONS (arXiv:1909.11096v1 Sec. 1, quoted): 'We assume a LambdaCDM cosmology with H0 = 70 km s-1 Mpc-1,
# Omega_m = 0.3, and Omega_Lambda = 0.7' ... 'Chabrier (2003) initial mass function.'
#
# COLUMNS (VizieR labels; explanations quoted from the ReadMe byte-by-byte description):
#   kmos3d_id=ID 'KMOS^3D^ unique identifier'; field=Field; target_id=Target 'KMOS^3D^ original targeting identifier'
#   ('KMOS3D ID when targeted, with field and 3D-HST (v2 or v4 catalog) object ID'); id_skelton14=S14 (NA for 99999)
#   z_kmos3d=z 'Measured KMOS3D redshift' (NA for -9999); zqual_flag=q_z '1 = redshift/detection is uncertain;
#   0 = redshift is secure; -1 = Non-detection'; z_target=zTar 'Best known redshift at time of observation from 3D-HST'
#   logMstar=M* 'Stellar mass' [log Msun] 'Derived from SED modeling following Wuyts+ (2011) ... FAST ... Bruzual &
#   Charlot (2003); Chabrier (2003) IMF; solar metallicity; Exponentially declining SFH with tau>300Myr'
#   Reff_H_arcsec=ReffH 'CANDELS H band major axis effective radius' [arcsec]; e_Reff_H_arcsec=e_ReffH (NA for -999)
#   q_H=Q 'CANDELS H band axis ratio'; e_q_H=e_Q; hband_source_flag=HFlag '1 = H-band fit from van der Wel+ (2012);
#   2 = H-band fit from Lang+ 2014'; sfr_Msun_yr=SFR 'From ladder of SFR indicators assuming a Chabrier (2003) IMF';
#   sfr_type_flag=f_SFR (5..1 = 160um/100um/70um/24um/SED); Av_mag=Av; primary_flag=P '1 = targeted as a primary
#   KMOS3D target, 0 = serendipitous galaxy detection'; addgal_flag=Add; seg_flag=Seg '1 = possible issues with
#   photometry and derived parameters resulting from over or under segmentation'; band=Band; psf_fwhm_arcsec=FWHM
#   'FWHM of Moffat model PSF; minor axis'; ra_deg, dec_deg = RAdeg, DEdeg (J2000).
#   From table6 (joined on ID; NA where absent): z_Ha=z 'Redshift (vacuum) from H{alpha} line fit' (1.5" aperture);
#   e_z_Ha; sigma_int_kms=sigma 'Velocity dispersion' -- 'Properties from Gaussian line profile fits to the
#   spatially-integrated spectrum of each galaxy extracted in a circular aperture of 1.5" radius. The velocity
#   dispersion is corrected for the instrumental resolution'; e_sigma_int_kms; Ha_fit_flag=Flag '0 = reliable fit'
#   (-3 no fit, -2/-1 upper limits, 1 unreliable; value 2 also occurs, undocumented in the ReadMe note).
#   Omitted: File, Exp, Res, Ksmag, UMag, VMag, JMag, Ap, FHa, e_FHa, FCor.
#   derived_kpc_per_arcsec = proper kpc per arcsec at z_kmos3d for astropy FlatLambdaCDM(H0=70, Om0=0.3) (the paper's
#   cosmology; reproduces RC41 Table 1 col 7 and G17 Table 1 'kpc/arcsec'); derived_Reff_H_kpc = that x Reff_H_arcsec.
#   NA when z_kmos3d is missing (z_target is deliberately NOT substituted).
#   in_RC41/RC41_row: ID or target_id matches an RC41 alias; in_RC100/RC100_idx: matches an RC100 name directly
#   (RC100_match=id_or_target) or through the matched RC41 row (via_RC41_alias); in_G17 likewise.
#
# OVERLAP: 69 rows overlap RC100 and 20 overlap RC41 by ID. RC100 names with a
# KMOS3D-style field prefix that matched no KMOS3D row: none.
# 785 rows = 739 primary targets + 46 serendipitous detections (primary_flag=0): count galaxies with primary_flag=1,
# not rows. All RC41/RC100-overlapping rows are primary targets.
# 158 rows have no measured z_kmos3d (-9999 in source) and 125 have no sigma_int_kms. NA = not given.
# DE-DUPLICATION TRAP: Uebler+2017 (VizieR J/ApJ/842/121, the KMOS3D Tully-Fisher sample) is ID-less (sequence
# numbers only), so it cannot be de-duplicated against this file, RC41 or RC100 by ID.
kmos3d_id,field,target_id,id_skelton14,z_kmos3d,zqual_flag,z_target,logMstar,Reff_H_arcsec,e_Reff_H_arcsec,derived_Reff_H_kpc,derived_e_Reff_H_kpc,derived_kpc_per_arcsec,q_H,e_q_H,hband_source_flag,sfr_Msun_yr,sfr_type_flag,Av_mag,z_Ha,e_z_Ha,sigma_int_kms,e_sigma_int_kms,Ha_fit_flag,primary_flag,addgal_flag,seg_flag,band,psf_fwhm_arcsec,ra_deg,dec_deg,in_RC41,RC41_row,in_RC100,RC100_idx,RC100_match,in_G17
COS4_00779,COSMOS,COS3_00715,779,0.9243,1,0.921333,10.85,1.053,0.009,8.265,0.071,7.8495,0.772,0.004,2,16.457966,2.0,0.3,0.9243,2.7E-4,349.3,29.4,2,1,0,0,YJ,0.59692,150.10113525390625,2.1906323432922363,0,NA,0,NA,NA,0
COS4_00937,COSMOS,COS3_00644,937,0.87761,0,0.8783,11.17,0.64,0.005,4.950,0.039,7.7339,0.835,0.003,2,14.587371,5.0,0.7,0.87761,3.7E-4,279.7,72.0,2,1,0,0,YJ,0.59692,150.1288604736328,2.193235397338867,0,NA,0,NA,NA,0
COS4_00970,COSMOS,COS4_00970,970,0.82056,0,0.79933554,11.04,0.385,0.003,2.915,0.023,7.5724,0.497,0.004,2,0.8709636,1.0,0.6,0.82056,1.1E-4,97.7,16.2,0,1,0,0,YJ,0.65601,150.14334106445312,2.192643404006958,0,NA,0,NA,NA,0
COS4_01351,COSMOS,COS4_01351,1351,0.85346,0,0.85379577,10.73,1.119,0.008,8.581,0.061,7.6684,0.256,0.003,2,57.394997,5.0,1.7,0.85346,1.1E-4,223.7,32.5,0,1,0,0,YJ,0.65601,150.14260864257812,2.1969704627990723,1,9,1,18,id_or_target,1
COS4_01598,COSMOS,COS4_01598,1598,NA,0,1.0222343,10.5,0.478,0.011,NA,NA,NA,0.192,0.01,2,0.74131024,1.0,1.5,NA,NA,NA,NA,-3,1,0,0,YJ,0.7314,150.11680603027344,2.1967461109161377,0,NA,0,NA,NA,0
COS4_01670,COSMOS,COS3_01584,1670,0.92702,0,0.9271,10.52,0.451,0.006,3.543,0.047,7.8558,0.861,0.006,2,28.796358,2.0,1.0,0.92702,1.0E-5,81.4,5.8,2,1,0,0,YJ,0.59692,150.13568115234375,2.199410915374756,0,NA,0,NA,NA,0
COS4_01966,COSMOS,COS4_01966,1966,2.30595,0,2.32872,10.16,0.33,0.028,2.706,0.230,8.2015,0.425,0.049,2,46.298454,2.0,0.9,2.30595,1.0E-4,101.9,27.6,0,1,1,0,K,0.39883,150.12586975097656,2.1993229389190674,0,NA,0,NA,NA,0
COS4_02097,COSMOS,COS3_02001,2097,NA,0,0.7945,10.66,0.73,0.012,NA,NA,NA,0.234,0.006,2,12.802664,5.0,1.2,NA,NA,NA,NA,-3,1,0,0,YJ,0.59692,150.1140594482422,2.202880382537842,0,NA,0,NA,NA,0
COS4_02167,COSMOS,COS3_01705,2167,0.82711,0,0.827223,10.58,0.972,0.007,7.380,0.053,7.5922,0.743,0.003,2,29.271063,5.0,1.0,0.82711,2.0E-5,48.6,4.5,0,1,0,0,YJ,0.59692,150.0922393798828,2.204434871673584,0,NA,0,NA,NA,0
COS4_02355,COSMOS,COS4_02355,2355,NA,1,1.34902,9.78,0.47,0.012,NA,NA,NA,0.238,0.016,1,7.24436,1.0,1.3,NA,NA,NA,NA,-3,1,0,0,H,0.53691,150.1473846435547,2.203214645385742,0,NA,0,NA,NA,0
COS4_02418,COSMOS,COS4_02418,2418,0.77695,0,0.77649873,10.35,0.385,0.003,2.861,0.022,7.4325,0.701,0.005,2,35.035007,5.0,1.9,0.77695,5.0E-5,133.2,7.3,0,1,0,0,YJ,0.65601,150.15545654296875,2.205454111099243,0,NA,0,NA,NA,0
COS4_02567,COSMOS,COS3_02480,2567,0.92442,0,0.921094,10.72,0.641,0.008,5.032,0.063,7.8497,0.474,0.005,2,29.52812,2.0,1.1,0.92442,4.0E-5,73.5,15.1,2,1,0,0,YJ,0.59692,150.1102752685547,2.2076048851013184,0,NA,0,NA,NA,0
COS4_02672,COSMOS,COS4_02672,2672,2.3075,0,2.3154013,10.57,0.502,0.013,4.117,0.107,8.2005,0.491,0.014,1,72.839386,2.0,0.7,2.3075,3.0E-5,128.4,5.4,0,1,0,0,K,0.39883,150.1294708251953,2.207197904586792,1,37,1,89,id_or_target,0
COS4_02887,COSMOS,COS4_02887,2887,2.17316,0,2.1734,10.15,0.753,0.032,6.236,0.265,8.2814,0.484,0.025,2,10.471285,1.0,0.6,2.17316,2.0E-5,35.3,7.5,0,1,1,3,K,0.39883,150.09695434570312,2.209170341491699,0,NA,0,NA,NA,0
COS4_03179,COSMOS,COS4_03179,3179,2.1707,0,2.18704,10.02,0.296,0.009,2.452,0.075,8.2828,0.779,0.022,2,12.589254,1.0,0.6,2.1707,4.0E-5,109.7,12.7,0,1,0,0,K,0.45445,150.16807556152344,2.211296319961548,0,NA,0,NA,NA,0
COS4_03206,COSMOS,COS4_03206,3206,2.1026,0,2.2210972,11.36,0.743,0.037,6.182,0.308,8.3202,0.537,0.02,2,64.565414,1.0,2.1,2.1026,4.5E-4,366.2,52.2,2,1,0,0,K,0.38976,150.13270568847656,2.2118589878082275,0,NA,0,NA,NA,0
COS4_03243,COSMOS,COS3_03199,3243,0.9252,0,0.925359,10.49,0.592,0.005,4.648,0.039,7.8515,0.521,0.004,2,39.08716,5.0,1.7,0.9252,2.0E-5,56.4,7.7,2,1,0,0,YJ,0.59692,150.10598754882812,2.2131435871124268,0,NA,0,NA,NA,0
COS4_03324,COSMOS,COS4_03324,3324,2.30684,0,2.3072,10.62,0.574,0.011,4.707,0.090,8.2009,0.684,0.013,2,90.966774,2.0,1.0,2.30684,1.0E-5,54.4,3.4,0,1,0,0,K,0.39883,150.14840698242188,2.2131335735321045,0,NA,0,NA,NA,0
COS4_03493,COSMOS,COS4_03493,3493,0.67901,0,0.83287776,10.49,0.556,0.005,3.924,0.035,7.0581,0.422,0.005,2,7.7549133,2.0,0.9,0.67901,3.0E-5,180.0,12.9,0,1,0,0,YJ,0.62154,150.17385864257812,2.2158491611480713,0,NA,0,NA,NA,0
COS4_03700,COSMOS,COS3_03696,3700,0.95615,1,0.953707,11.17,0.581,0.005,4.602,0.040,7.9205,0.884,0.004,2,23.475166,5.0,0.9,0.95615,3.0E-4,259.3,74.5,2,1,0,0,YJ,0.59692,150.1707305908203,2.219238042831421,0,NA,0,NA,NA,0
COS4_03784,COSMOS,COS4_03784,3784,1.50434,0,1.50302,10.26,0.3,0.005,2.539,0.042,8.4634,0.639,0.011,2,37.199947,2.0,1.2,1.50434,6.0E-5,130.8,8.3,2,1,0,0,H,0.42028,150.11837768554688,2.2167165279388428,0,NA,0,NA,NA,0
