# RC100 (Nestor Shachar et al. 2023, ApJ 944, 78; arXiv:2209.12199v1) Appendix B, Table 3
# "RC100 galaxy best-fit parameters and characteristics" (average of three fitting methods).
# TRANSCRIBED by eye from the table images on PDF pages 27-29 of arXiv:2209.12199v1
# (PDF sha256 a04738e47a61b761a693ba7b156d16240fcffbb1d9252df9456ca4d209aeff22), not a publisher
# machine-readable table (none found on VizieR; the IOP site is behind bot protection and was not
# circumvented). Columns kept: those used by scripts/a0_highz_measurement.py plus the independent
# log Sigma_DM(<Re) column, which is used ONLY as a transcription check (recomputed from fDM, Vc, Re).
# Omitted columns: FWHM, T_int, dlog SFR/SFR(MS), log M_bulge, log M_vir^SMHM, log Sigma_SFR.
# Paper conventions: flat LCDM H0=70, Om=0.3; Chabrier IMF; M_gas from Tacconi+2020 scaling;
# fDM(Re) = V_DM^2(Re)/V_circ^2(Re); V_c(Re) corrected for pressure support (Burkert+2010, their eq. 8).
# VERIFIED 2026-09-16 by independent re-transcription (PDF sha256 re-fetched from arXiv, matches; pages 27-29 embedded images read at 2x); 0 cells corrected: all 1400 numeric cells agree. Internal check log10[fDM*Vc^2*Re/(G*pi*Re^2)], G=4.30091e-6 kpc (km/s)^2/Msun, reproduces logSigmaDM with |resid|<=0.03 dex for 93/100 rows; 7 rows 0.03-0.10 dex all have fDM<=0.06 (2-digit fDM rounding). Paper eq.[2]: Sigma_DM(Re)=M_DM(Re)/(pi Re^2), M_DM from fitted NFW halo.
idx,galaxy,z,logMstar,logMbar,e_logMbar,Re_kpc,e_Re_kpc,fDM,e_fDM,Vc_kms,e_Vc_kms,sigma0_kms,e_sigma0_kms,logSigmaDM,e_logSigmaDM
1,U4 38210,0.61,10.85,10.99,0.13,8.10,1.53,0.44,0.13,240,48,44,7,8.36,0.54
2,U4 20688,0.63,11.0,10.81,0.11,9.57,1.65,0.67,0.13,275,55,16,6,8.59,0.44
3,EGS3 10098,0.66,11.11,10.93,0.11,2.95,0.92,0.14,0.12,271,54,29,12,8.40,1.20
4,U3 21388,0.67,10.76,10.64,0.18,7.81,1.28,0.70,0.13,205,41,53,7,8.44,0.41
5,EGS4 21351,0.73,10.94,10.61,0.14,4.16,1.66,0.06,0.08,159,32,17,6,7.40,0.87
6,GS4 00984,0.73,9.48,9.72,0.21,5.25,1.67,0.79,0.14,116,23,25,5,8.18,0.55
7,EGS4 11261,0.75,11.25,11.12,0.08,5.02,1.22,0.20,0.10,294,59,22,7,8.41,0.80
8,GS4 13143,0.76,9.82,10.33,0.11,5.51,1.26,0.41,0.13,147,29,22,7,8.07,0.54
9,U3 08493,0.79,10.77,11.08,0.11,3.79,1.01,0.10,0.11,267,53,16,10,8.14,1.00
10,COS4 05656,0.8,10.68,10.61,0.10,4.99,1.39,0.27,0.12,181,36,24,5,8.12,0.74
11,COS4 05925,0.8,10.63,10.95,0.15,5.72,1.08,0.36,0.17,257,51,35,11,8.49,0.78
12,U3 03856,0.8,10.59,10.62,0.17,7.54,1.55,0.64,0.20,212,42,25,8,8.45,0.59
13,U3 05138,0.81,10.2,10.46,0.11,7.60,1.46,0.38,0.16,136,27,29,6,7.83,0.59
14,U4 42393,0.82,10.93,11.15,0.10,2.61,0.73,0.08,0.07,335,67,64,11,8.41,1.17
15,GS4 03228,0.82,9.49,10.08,0.17,6.79,1.46,0.70,0.13,142,28,13,7,8.18,0.44
16,GS4 32976,0.83,10.37,10.70,0.09,7.73,1.45,0.57,0.09,235,47,43,6,8.48,0.46
17,GS3 23200,0.83,10.07,10.25,0.18,6.72,1.49,0.63,0.16,127,25,33,3,8.05,0.55
18,COS4 01351,0.85,10.73,11.13,0.11,7.52,1.41,0.38,0.09,267,53,58,4,8.42,0.50
19,COS4 06487,0.91,10.85,10.91,0.09,4.97,1.50,0.38,0.10,286,57,30,7,8.66,0.57
20,COS3 18434,0.91,10.77,10.73,0.10,6.75,1.57,0.50,0.14,232,46,38,5,8.47,0.57
21,U4 19954,0.91,11.13,11.21,0.07,8.63,1.28,0.17,0.12,260,52,22,11,8.00,0.81
