# source: Rizzo F. et al. 2023, A&A 679, A129, 'The ALMA-ALPAKA survey I' arXiv:2303.16227
# extracted: 2026-09-16 from arXiv e-print alpaka_v2.tex (tarball also holds aanda.tex/aanda2.tex drafts; numeric rows of tab:vsigma identical between alpaka_v2 and aanda2)
# tables: tab:tab1 (name,z), tab:mstar (M*,SFR SED/STARDUST), tab:vsigma (disks only; rotation velocities NOT pressure-support corrected)
# cosmology: Planck 2018 LCDM; IMF: Chabrier
# tracer: CO / [CI] (ALMA); velocities in km/s; errors as given (ep=+ em=-); no gas masses or rotation-curve points tabulated in paper (RCs figure-only)
# pressure_support_corrected: NO
ID,name,z,notes,type_MS_SB,Mstar_1e10Msun,Mstar_ep,Mstar_em,Mstar_flag,SFR_Msun_yr,SFR_ep,SFR_em,SFR_flag,Vmax_kms,Vmax_kms_ep,Vmax_kms_em,Vmax_kms_flag,sigma_m_kms,sigma_m_kms_ep,sigma_m_kms_em,sigma_m_kms_flag,Vext_kms,Vext_kms_ep,Vext_kms_em,Vext_kms_flag,sigma_ext_kms,sigma_ext_kms_ep,sigma_ext_kms_em,sigma_ext_kms_flag
1,GOODS-S 15503,0.561,-,MS,1.1,0.3,0.3,,8,2,2,,204,9,10,,10,3,2,,202,5,6,,9,2,3,
2,COSMOS 2989680,0.623,Minor merger,MS,5.7,0.5,0.5,,28,9,9,,259,11,12,,15,4,4,,257,7,7,,13,6,6,
3,COSMOS 1648673,1.445,AGN(?),SB,3.2,1.1,1.1,,281,18,18,,366,34,29,,49,,,upper_limit,346,22,18,,58,,,upper_limit
4,ALMA.03,1.453,Cluster member,SB,9,4,4,,220,50,50,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
5,ALMA.010,1.453,Cluster member,MS,3.6,0.5,0.5,,92,24,24,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
6,ALMA.08,1.456,Cluster member,MS,5.8,1.0,1.0,,67,20,20,,273,23,25,,42,8,7,,266,15,17,,42,8,7,
7,ALMA.01,1.466,Cluster member,MS,7.6,0.9,0.9,,170,30,30,,300,10,12,,52,,,upper_limit,274,24,26,,52,9,9,upper_limit
8,ALMA.06,1.467,Cluster member,MS,11,3,3,,141,33,33,,408,62,56,,44,14,14,,390,39,36,,32,19,18,
9,ALMA.013,1.471,Cluster member,MS,3.9,0.9,0.9,,48,11,11,,343,35,44,,30,10,12,,342,22,27,,30,10,12,
10,SHiZELS-19,1.484,-,SB,4.7,0.4,0.4,,229,15,15,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
11,SpARCS J0225-371,1.599,Cluster member,SB,6.3,0.8,0.8,,174,78,78,,421,21,22,,30,7,5,,395,24,24,,32,9,7,
12,SpARCS J0224-159,1.634,Cluster member,SB,5.9,1.8,1.8,,217,82,82,,283,19,26,,30,6,6,,275,15,17,,35,8,7,
13,COSMOS 3182,2.103,Protocluster member,MS,12,3,3,,230,56,56,,263,14,17,,32,5,6,,236,32,30,,33,7,8,
14,Q2343-BX610,2.211,AGN(?),MS,11,3,3,,441,77,77,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
15,GS30274,2.225,AGN,MS,25,5,5,,215,40,40,,417,42,44,,99,29,44,,375,28,27,,99,29,44,
16,HXMM01-a,2.311,Group member,-,,,,missing,730,300,300,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
17,HXMM01-b+c,2.308,"Group member, merger",-,,,,missing,1360,680,680,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
18,HATLAS J084933-W,2.407,"AGN, protocluster member",SB,12,3,3,,3150,830,830,,509,27,27,,40,10,8,,466,35,30,,30,17,14,
19,CLJ1001-131077,2.494,Cluster member,SB,8,2,2,,1100,150,150,,283,22,26,,42,8,8,,282,13,15,,42,8,8,
20,CLJ1001-130949,2.504,Cluster member,MS,32,8,8,,130,170,170,,334,32,43,,38,17,17,,276,34,40,,38,17,17,
21,CLJ1001-130891,2.513,Cluster member,MS,21,6,6,,323,70,70,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
22,Gal3,2.935,-,SB,7,2,2,,804,313,313,,420,46,56,,52,25,30,,409,32,38,,52,25,25,
23,ADF22.1,3.089,"AGN, protocluster member",MS,53,30,30,,898,590,590,,508,16,20,,24,6,6,,489,12,15,,22,9,9,
24,ADF22.5,3.094,Protocluster member,-,,,,missing,,,,missing,362,34,45,,30,6,6,,303,16,18,,28,9,9,
25,ADF22.7,3.088,"AGN, protocluster member",SB,11,5,5,,704,400,400,,377,25,22,,48,7,7,,343,15,16,,61,9,9,
26,Gal5,3.339,-,SB,7,4,4,,916,70,70,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
27,Gal4,3.431,-,SB,8.5,4.0,4.0,,2150,210,210,,,,,not_disk,,,,not_disk,,,,not_disk,,,,not_disk
28,W0410-0913,3.630,"AGN, protocluster member",SB,13,6,6,,1848,900,900,,428,65,52,,167,,,upper_limit,398,40,35,,85,,,upper_limit
