# Sharma et al. 2021, MNRAS 503, 1753 (doi:10.1093/mnras/stab249; arXiv:2005.00279) released catalogue
# "Flat rotation curves of z~1 star-forming galaxies": 344 KROSS galaxies re-modelled with 3D-Barolo.
# SOURCE: CDS/VizieR J/MNRAS/503/1753 catalog.dat (Records=344), sha256 b91ea011fd98ceacf1b30a18123da2c4a20162d78edbf383fbff37c72b57df45;
#   cross-checked C6 against the authors' Harvard Dataverse file doi:10.7910/DVN/MHRG4O
#   (gsharma_2020_catalog.fits, md5 43037198cef3cc89376984cb76a8dd61, sha256 507c2e0834957950f30d72eb99832d95ac75f31628e412351731448be859c942).
# VIZIER LABEL DEFECT: the CDS ReadMe labels Re, Vout, VPGCout, Sigma, LHa, FHa (and their errors) as log
#   quantities ([kpc], [km/s], ...). The numbers are LINEAR: they equal the Dataverse FITS columns and Re spans
#   0.695-7.73 kpc, matching the abstract's 0.69<=R_e[kpc]<=7.76. Columns here are named as linear.
# CONVENTIONS: no cosmology statement found in the arXiv source; Re, M_H, PA, magnitudes are adopted from
#   Harrison+2017 (H0=70, Om=0.3, OL=0.7, Chabrier). Quality: 1 best, 2 reasonable, 3 discarded by the authors.
# VELOCITY: Vout_kms = 3D-Barolo rotation velocity at R_out = 6.4 R_D, R_D = 0.59 R_e (beam smearing
#   handled in 3D; paper Sec. 3.1 figure caption: R_out = R_2opt = 3.78 R_e); VPGC_out_kms = same after
#   PRESSURE-GRADIENT CORRECTION (paper Sec. 3.2):
#   V_c^PGC = sqrt(V_phi^2 - sigma_R^2 [dln Sigma/dln R + dln sigma_R^2/dln R + (1-alpha)/2]).
#   => R_out_kpc = 3.78*Re_kpc (not a column; compute downstream). Sigma_kms = weighted
#   mean intrinsic dispersion. L_Ha in erg/s (10^-7 W), F_Ha in erg/s/cm^2 (mW/m^2), no extinction correction.
# STELLAR MASS: the paper's LePhare masses (supplied by A. Tiley) are NOT in the released catalogue.
#   T19_* = JOIN to Tiley2019a KROSS rows by KID (167/344 present; SED masses, WMAP9).
#   H17_* = JOIN to Harrison+2017 by KID (344/344; fixed M/L=0.2 H-band mass, H0=70; R_1/2 kpc).
# Built by scripts/highz_tf_samples_build.py on 2026-09-16.
KID,Name,Quality,Flag_PA,RAdeg,DEdeg,z,PA_deg,INC_deg,MH_AB,zmag_AB,Kmag_AB,Re_kpc,Re_err_kpc,Vout_kms,Vout_err_kms,VPGC_out_kms,VPGC_out_err_kms,Sigma_kms,Sigma_err_kms,L_Ha_erg_s,L_Ha_err_erg_s,F_Ha_erg_s_cm2,T19_logMstar_SED,T19_disky_flag,H17_logMstar_fixedML,H17_R12_kpc
6,C-HiZ_z1_112,1,phot,149.92027,2.283297,0.853915,4.305,57.3675,-19.67,23.04167,23.376907,1.430238,0.429071,0.0587,3.489647,111.77036,11.249759,55.74496,3.420185,3.70489e+41,1.85245e+40,6.98248e-17,,,9.05303,1.430238
11,C-HiZ_z1_186,1,phot,150.13445,2.272835,0.844478,12.204,61.8709,-18.85,23.340982,23.670664,1.248902,0.374671,14.25066,4.616799,116.0219,14.509179,54.44206,3.65844,6.34547e+41,3.17274e+40,1.22911e-16,,,8.72503,1.248902
13,C-HiZ_z1_195,2,kin,150.14436,2.241574,0.845449,25.164,41.2412,-21.08,22.290258,22.08252,2.129356,0.638807,68.56189,12.66126,82.85769,12.203491,30.85619,3.463326,3.3767e+41,1.68835e+40,6.52212e-17,,,9.61703,2.129356
17,C-HiZ_z1_231,1,kin,150.22769,2.161029,0.837722,35.248,46.8879,-20.56,22.965548,22.960392,0.928072,0.278422,17.12154,4.874158,138.74026,12.762073,67.90074,4.611618,3.31547e+41,1.65774e+40,6.55036e-17,,,9.40903,0.928072
20,C-HiZ_z1_245,1,kin,150.25717,1.864221,0.833362,-70.826,61.5276,-21.79,21.689499,21.194803,3.495298,1.04859,182.91945,12.49909,186.26261,12.455581,45.94706,2.906838,4.03385e+41,2.01692e+40,8.07273e-17,9.64542,1,9.901031,3.495298
21,C-HiZ_z1_246,2,phot,150.25927,2.324294,0.842185,-37.867,41.9634,-21.12,22.180376,22.017189,2.615322,0.784597,93.18487,13.470085,130.08104,12.29956,36.33641,3.431509,2.27809e+41,1.13905e+40,4.44228e-17,,,9.633031,2.615322
22,C-HiZ_z1_251,3,kin,150.26587,2.336187,0.854378,24.169,36.4007,-21.43,21.921135,21.681347,1.142579,0.342774,8.66009,1.431615,75.80616,10.651571,38.05894,3.329882,2.9264e+41,1.4632e+40,5.50792e-17,,,9.75703,1.142579
25,C-HiZ_z1_258,1,kin,150.27355,1.882704,0.837601,36.356,50.5938,-22.11,21.424732,20.924286,4.604157,1.381247,170.82,25.61565,222.88196,21.097485,66.79379,3.788588,2.79056e+41,1.39528e+40,5.51525e-17,10.1734,1,10.02903,4.604157
28,C-HiZ_z1_267,2,kin,150.29337,1.885821,0.839406,46.9,31.0983,-20.42,22.433565,22.303043,4.431997,1.329599,129.549,20.979155,131.22656,20.780414,14.25841,3.371659,1.52155e+41,7.60775e+39,2.99128e-17,,,9.35303,4.431997
31,C-HiZ_z1_275,2,phot,150.30345,2.288197,0.850856,-73.039,63.7516,-21.83,21.731741,21.458399,2.456358,0.736907,92.31167,8.843949,149.29467,12.806028,47.51428,3.722114,4.76956e+41,2.38478e+40,9.06886e-17,9.65445,0,9.91703,2.456358
32,C-HiZ_z1_277,2,phot,150.30703,2.048213,0.838363,53.088,36.708,-22.11,21.400406,20.956554,4.153598,1.246079,58.277,10.936821,58.61311,10.936994,21.14148,3.490778,1.64306e+41,8.2153e+39,3.24007e-17,,,10.02903,4.153598
34,C-HiZ_z1_285,1,phot,150.31317,1.915621,0.833804,-7.013,71.3147,-21.26,22.494585,21.996712,1.582058,0.474617,49.28178,5.984762,93.30566,9.869223,43.9101,3.472978,2.56394e+41,1.28197e+40,5.12438e-17,9.38095,1,9.68903,1.582058
