# Ubler et al. 2017, ApJ 842, 121 (doi:10.3847/1538-4357/aa7558; arXiv:1703.04321v2) Table 3
# "Physical properties of galaxies in our TFR sample" -- KMOS3D Tully-Fisher sample, 135 SFGs, 0.6<z<2.6.
# SOURCE: CDS/VizieR J/ApJ/842/121 table3.dat (Records=135), sha256 b46ee156730a43cfbc89b957d56bd7f244da2535c872f4fc8739e7ec7811ca59.
#   Cross-check 2026-09-16: all 135 rows identical to the full table in the arXiv LaTeX source
#   (e-print sha256 27903922c3362f9bbb989679669cd485510981f91fca6d336d32cd84afda99fb; rows 6-115 sit in a comment block there).
# NO galaxy names, NO radii, NO per-galaxy uncertainties are published. Paper Sec. 2.2: adopted
#   uncertainties 0.15 dex (M*), 0.20 dex (M_gas), ~0.15 dex (M_bar); Sec. 4.3.2: median Vcirc error 20 km/s.
# CONVENTIONS (paper Sec. 1 end): "we adopt a Chabrier (2003) initial mass function (IMF) and a flat LCDM
#   cosmology with H0=70 km s^-1 Mpc^-1, Omega_Lambda=0.7, and Omega_m=0.3."
#   M* from SED fits (Bruzual & Charlot 2003, Wuyts+2011). M_bar = M* + M_gas, M_gas from the Tacconi+2017
#   depletion-time scaling (molecular only; "the inferred gas masses correspond to lower limits").
#   Distance: M* and M_bar scale as D_L^2 (flux-based, H0=70 flat LCDM Om=0.3).
# VELOCITY: Vcirc_max = maximum of the modelled circular velocity (DYSMAL forward model, thick exponential
#   disc n_S=1, q0=0.25). PRESSURE-SUPPORT CORRECTED: v_circ(r)^2 = v_rot(r)^2 + 2 sigma0^2 r/R_d
#   (Burkert+2010), paper Sec. 2.3 eq. 1. sigma0 = modelled intrinsic dispersion (km/s).
#   Selection: peak velocity covered by data; v_rot,max/sigma0 > sqrt(4.4); no close neighbours.
# band_derived is NOT a published per-row column: the paper gives 65/24/46 targets in YJ/H/K
#   (z~0.9/1.5/2.3); z is sorted and has gaps exactly after seq 65 (1.032->1.306) and 89 (1.665->2.028).
#   Table 2 fits: z~0.9 subsample = YJ (65), z~2.3 subsample = K (46). [D]
# Published fixed-slope fits: see HighZ_TF_published_fits.csv (paper Table 2).
# Built by scripts/highz_tf_samples_build.py on 2026-09-16.
seq,z,band_derived,logMstar,logMbar,Vcirc_max_kms,sigma0_kms
1,0.602,YJ,10.85,10.93,274.9,30.9
2,0.626,YJ,11.0,11.07,314.3,25.8
3,0.669,YJ,10.76,10.82,267.5,49.8
4,0.678,YJ,10.49,10.58,273.4,38.5
5,0.758,YJ,10.66,10.77,313.8,24.3
6,0.777,YJ,10.35,10.58,239.1,81.4
7,0.785,YJ,10.52,10.63,237.8,23.0
8,0.787,YJ,10.77,10.89,324.7,8.5
9,0.788,YJ,9.78,10.18,158.2,51.0
10,0.798,YJ,10.68,10.94,206.4,29.9
11,0.799,YJ,10.63,10.78,300.7,1.0
12,0.8,YJ,9.69,9.81,111.6,32.9
13,0.803,YJ,10.59,10.7,219.4,29.4
14,0.803,YJ,10.48,10.56,337.4,29.3
15,0.809,YJ,10.2,10.33,177.1,38.0
16,0.82,YJ,11.12,11.19,261.2,27.4
17,0.823,YJ,10.03,10.26,194.2,16.8
18,0.824,YJ,10.59,10.63,235.4,9.3
19,0.828,YJ,10.87,10.99,351.2,96.4
20,0.831,YJ,10.37,10.57,285.3,28.9
21,0.832,YJ,10.07,10.36,166.9,52.1
22,0.852,YJ,10.83,10.95,305.2,37.1
23,0.854,YJ,10.73,10.93,321.4,1.8
24,0.868,YJ,10.31,10.55,189.4,49.8
25,0.889,YJ,10.63,10.82,259.0,44.3
26,0.892,YJ,10.03,10.32,239.1,35.7
27,0.892,YJ,9.82,10.15,210.7,24.4
28,0.893,YJ,9.59,9.97,138.1,1.0
29,0.895,YJ,10.12,10.29,207.9,27.5
30,0.896,YJ,10.26,10.48,184.3,28.5
31,0.896,YJ,10.28,10.51,203.9,18.2
32,0.9,YJ,10.3,10.54,323.9,51.3
33,0.9,YJ,10.31,10.56,143.4,47.5
34,0.901,YJ,10.1,10.26,197.2,28.8
35,0.905,YJ,10.14,10.38,184.9,1.0
36,0.906,YJ,10.92,11.02,222.5,36.2
37,0.907,YJ,10.85,10.97,335.7,41.4
38,0.907,YJ,10.77,10.94,278.3,40.0
39,0.912,YJ,9.96,10.3,149.6,23.3
40,0.912,YJ,10.83,10.92,285.9,38.3
41,0.913,YJ,11.13,11.26,384.0,95.2
42,0.914,YJ,10.71,10.85,255.0,36.3
43,0.914,YJ,10.32,10.48,159.1,47.4
44,0.919,YJ,10.94,11.05,356.4,94.9
45,0.921,YJ,10.61,10.68,262.8,22.8
46,0.922,YJ,10.19,10.34,196.3,58.8
47,0.927,YJ,10.66,10.8,212.1,1.0
48,0.939,YJ,10.3,10.62,301.9,1.9
49,0.949,YJ,10.17,10.43,129.8,31.6
50,0.95,YJ,10.74,10.95,191.0,60.6
51,0.952,YJ,10.1,10.31,126.9,30.2
52,0.953,YJ,9.91,10.18,259.0,65.8
53,0.953,YJ,9.85,10.01,217.2,35.5
54,0.953,YJ,9.91,10.08,140.3,16.3
55,0.954,YJ,10.95,11.04,315.0,46.8
56,1.002,YJ,10.83,11.0,380.0,19.9
57,1.004,YJ,10.29,10.53,192.5,1.0
58,1.01,YJ,9.53,9.94,125.0,19.7
59,1.017,YJ,10.44,10.61,256.5,42.2
60,1.018,YJ,10.31,10.59,299.6,58.7
61,1.019,YJ,10.51,10.64,231.5,21.7
62,1.024,YJ,10.64,10.79,305.6,12.1
63,1.026,YJ,10.89,11.03,264.7,1.0
64,1.031,YJ,10.74,10.99,294.5,57.9
65,1.032,YJ,10.8,10.98,299.4,1.7
66,1.306,H,10.7,10.85,248.8,21.4
67,1.382,H,11.0,11.31,320.5,82.4
68,1.382,H,10.08,10.39,181.1,18.4
69,1.382,H,10.82,11.07,281.1,29.3
70,1.418,H,10.5,10.72,222.3,44.6
71,1.427,H,10.26,10.6,140.6,40.1
72,1.493,H,10.22,10.56,207.4,29.7
73,1.498,H,10.31,10.53,163.2,52.0
74,1.51,H,11.0,11.2,347.6,39.4
75,1.518,H,11.07,11.37,476.1,158.9
76,1.525,H,10.81,11.11,301.7,25.4
77,1.526,H,11.33,11.48,470.6,32.4
78,1.534,H,10.19,10.42,195.9,52.3
79,1.548,H,10.81,11.04,271.3,49.5
80,1.551,H,9.93,10.3,226.8,59.4
81,1.551,H,9.93,10.2,120.3,40.5
82,1.588,H,10.72,11.0,241.9,34.4
83,1.599,H,10.85,11.03,215.8,46.8
84,1.612,H,10.68,10.9,304.4,39.5
85,1.613,H,11.18,11.31,309.0,50.5
86,1.614,H,10.61,10.88,285.8,48.2
87,1.615,H,11.3,11.47,433.7,59.7
88,1.656,H,9.9,10.5,263.5,52.3
89,1.665,H,10.74,10.97,262.4,52.4
90,2.028,K,10.34,10.69,263.2,32.1
91,2.036,K,10.65,10.98,288.0,21.2
92,2.037,K,11.24,11.39,413.8,104.1
93,2.042,K,10.75,11.08,281.9,61.0
94,2.063,K,10.76,11.09,315.0,45.2
95,2.113,K,10.13,10.57,276.6,55.9
96,2.152,K,10.46,10.8,216.8,1.2
97,2.163,K,10.35,10.65,166.6,50.8
98,2.167,K,10.64,10.96,206.7,47.1
99,2.171,K,10.02,10.35,242.3,54.5
100,2.171,K,10.4,10.79,295.0,58.0
101,2.18,K,11.21,11.43,377.0,11.1
102,2.182,K,11.32,11.49,303.3,71.6
103,2.186,K,10.36,10.75,263.8,23.9
104,2.187,K,11.0,11.34,233.8,32.9
105,2.191,K,11.46,11.63,284.1,77.6
106,2.193,K,10.92,11.16,204.6,56.5
107,2.197,K,10.17,10.59,169.0,9.8
108,2.219,K,10.09,10.43,167.5,45.4
109,2.225,K,10.25,10.54,200.8,37.6
110,2.226,K,10.1,10.57,183.6,59.2
111,2.227,K,10.5,10.87,254.1,33.6
112,2.227,K,10.36,10.72,151.2,47.6
113,2.228,K,10.51,10.79,208.6,40.9
114,2.229,K,10.61,11.19,254.4,39.0
115,2.246,K,10.37,10.78,216.5,57.6
116,2.298,K,10.24,10.56,243.3,58.5
117,2.301,K,10.83,11.02,408.9,1.9
118,2.307,K,10.48,10.87,175.2,55.3
119,2.308,K,10.57,10.91,214.5,45.8
120,2.313,K,10.48,10.92,280.2,70.7
121,2.32,K,11.06,11.35,373.3,124.6
122,2.359,K,10.57,10.89,174.3,33.1
123,2.391,K,10.34,10.72,274.2,39.6
124,2.408,K,10.69,11.07,291.0,62.7
125,2.416,K,10.18,10.6,199.2,48.9
126,2.432,K,10.14,10.64,259.8,60.0
127,2.433,K,10.59,11.05,302.3,75.8
128,2.437,K,10.56,10.96,266.2,56.1
129,2.439,K,10.89,11.21,284.2,52.7
130,2.441,K,10.57,10.96,324.2,36.1
131,2.452,K,10.34,10.71,241.7,40.5
132,2.454,K,9.88,10.36,152.2,47.9
133,2.464,K,10.44,10.84,167.8,27.5
134,2.519,K,11.05,11.35,430.4,104.9
135,2.529,K,11.15,11.33,409.7,68.4
