# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   4.533274e+00   9.900990e-03   5.652465e+00   0.000000e+00   0.000000e+00
      1   4.639349e+00   1.030088e-02   5.538556e+00   0.000000e+00   0.000000e+00
      2   4.747606e+00   1.071692e-02   5.427056e+00   0.000000e+00   0.000000e+00
      3   4.858086e+00   1.114977e-02   5.317908e+00   0.000000e+00   0.000000e+00
      4   4.970835e+00   1.160010e-02   5.211057e+00   0.000000e+00   0.000000e+00
      5   5.085895e+00   1.206863e-02   5.106449e+00   0.000000e+00   0.000000e+00
      6   5.203312e+00   1.255609e-02   5.004031e+00   0.000000e+00   0.000000e+00
      7   5.323132e+00   1.306324e-02   4.903753e+00   0.000000e+00   0.000000e+00
      8   5.445403e+00   1.359088e-02   4.805565e+00   0.000000e+00   0.000000e+00
      9   5.570172e+00   1.413984e-02   4.709419e+00   0.000000e+00   0.000000e+00
     10   5.697488e+00   1.471097e-02   4.615268e+00   0.000000e+00   0.000000e+00
     11   5.827401e+00   1.530518e-02   4.523067e+00   0.000000e+00   0.000000e+00
     12   5.959963e+00   1.592339e-02   4.432773e+00   0.000000e+00   0.000000e+00
     13   6.095225e+00   1.656658e-02   4.344341e+00   0.000000e+00   0.000000e+00
     14   6.233240e+00   1.723575e-02   4.257730e+00   0.000000e+00   0.000000e+00
     15   6.374062e+00   1.793196e-02   4.172900e+00   0.000000e+00   0.000000e+00
     16   6.517748e+00   1.865630e-02   4.089811e+00   0.000000e+00   0.000000e+00
     17   6.664352e+00   1.940990e-02   4.008425e+00   0.000000e+00   0.000000e+00
     18   6.813934e+00   2.019394e-02   3.928703e+00   0.000000e+00   0.000000e+00
     19   6.966550e+00   2.100966e-02   3.850610e+00   0.000000e+00   0.000000e+00
     20   7.122262e+00   2.185834e-02   3.774109e+00   0.000000e+00   0.000000e+00
     21   7.281130e+00   2.274130e-02   3.699167e+00   0.000000e+00   0.000000e+00
     22   7.443216e+00   2.365993e-02   3.625749e+00   0.000000e+00   0.000000e+00
     23   7.608585e+00   2.461568e-02   3.553822e+00   0.000000e+00   0.000000e+00
     24   7.777300e+00   2.561003e-02   3.483355e+00   0.000000e+00   0.000000e+00
     25   7.949429e+00   2.664456e-02   3.414315e+00   0.000000e+00   0.000000e+00
     26   8.125038e+00   2.772089e-02   3.346673e+00   0.000000e+00   0.000000e+00
     27   8.304197e+00   2.884070e-02   3.280399e+00   0.000000e+00   0.000000e+00
     28   8.486975e+00   3.000575e-02   3.215463e+00   0.000000e+00   0.000000e+00
     29   8.673444e+00   3.121787e-02   3.151838e+00   0.000000e+00   0.000000e+00
     30   8.860944e+00   3.246066e-02   3.090373e+00   0.000000e+00   0.000000e+00
     31   9.048444e+00   3.372749e-02   3.031281e+00   0.000000e+00   0.000000e+00
     32   9.235944e+00   3.501837e-02   2.974427e+00   0.000000e+00   0.000000e+00
     33   9.423444e+00   3.633328e-02   2.919683e+00   0.000000e+00   0.000000e+00
     34   9.610944e+00   3.767224e-02   2.866936e+00   0.000000e+00   0.000000e+00
     35   9.798444e+00   3.903525e-02   2.816076e+00   0.000000e+00   0.000000e+00
     36   9.985944e+00   4.042230e-02   2.767003e+00   0.000000e+00   0.000000e+00
     37   1.017344e+01   4.183340e-02   2.719625e+00   0.000000e+00   0.000000e+00
     38   1.036094e+01   4.326855e-02   2.673856e+00   0.000000e+00   0.000000e+00
     39   1.054844e+01   4.472775e-02   2.629613e+00   0.000000e+00   0.000000e+00
     40   1.073594e+01   4.621101e-02   2.586822e+00   0.000000e+00   0.000000e+00
     41   1.092344e+01   4.771831e-02   2.545412e+00   0.000000e+00   0.000000e+00
     42   1.111094e+01   4.924968e-02   2.505318e+00   0.000000e+00   0.000000e+00
     43   1.129844e+01   5.080510e-02   2.466477e+00   0.000000e+00   0.000000e+00
     44   1.148594e+01   5.238459e-02   2.428831e+00   0.000000e+00   0.000000e+00
     45   1.167344e+01   5.398814e-02   2.392327e+00   0.000000e+00   0.000000e+00
     46   1.186094e+01   5.561576e-02   2.356912e+00   0.000000e+00   0.000000e+00
     47   1.204844e+01   5.726744e-02   2.322540e+00   0.000000e+00   0.000000e+00
     48   1.223594e+01   5.894321e-02   2.289164e+00   0.000000e+00   0.000000e+00
     49   1.242344e+01   6.064305e-02   2.256742e+00   0.000000e+00   0.000000e+00
     50   1.261094e+01   6.236697e-02   2.225234e+00   0.000000e+00   0.000000e+00
     51   1.279844e+01   6.411498e-02   2.194601e+00   0.000000e+00   0.000000e+00
     52   1.298594e+01   6.588708e-02   2.164808e+00   0.000000e+00   0.000000e+00
     53   1.317344e+01   6.768327e-02   2.135822e+00   0.000000e+00   0.000000e+00
     54   1.336094e+01   6.950356e-02   2.107609e+00   0.000000e+00   0.000000e+00
     55   1.354844e+01   7.134796e-02   2.080139e+00   0.000000e+00   0.000000e+00
     56   1.373594e+01   7.321648e-02   2.053385e+00   0.000000e+00   0.000000e+00
     57   1.392344e+01   7.510911e-02   2.027317e+00   0.000000e+00   0.000000e+00
     58   1.411094e+01   7.702587e-02   2.001912e+00   0.000000e+00   0.000000e+00
     59   1.429844e+01   7.896675e-02   1.977143e+00   0.000000e+00   0.000000e+00
     60   1.448594e+01   8.093178e-02   1.952987e+00   0.000000e+00   0.000000e+00
     61   1.467344e+01   8.292096e-02   1.929423e+00   0.000000e+00   0.000000e+00
     62   1.486094e+01   8.493430e-02   1.906429e+00   0.000000e+00   0.000000e+00
     63   1.504844e+01   8.697180e-02   1.883985e+00   0.000000e+00   0.000000e+00
     64   1.523594e+01   8.903347e-02   1.862071e+00   0.000000e+00   0.000000e+00
     65   1.542344e+01   9.111934e-02   1.840671e+00   0.000000e+00   0.000000e+00
     66   1.561094e+01   9.322940e-02   1.819765e+00   0.000000e+00   0.000000e+00
     67   1.579844e+01   9.536367e-02   1.799338e+00   0.000000e+00   0.000000e+00
     68   1.598594e+01   9.752216e-02   1.779374e+00   0.000000e+00   0.000000e+00
     69   1.617344e+01   9.970488e-02   1.759857e+00   0.000000e+00   0.000000e+00
     70   1.636094e+01   1.019119e-01   1.740773e+00   0.000000e+00   0.000000e+00
     71   1.654844e+01   1.041431e-01   1.722108e+00   0.000000e+00   0.000000e+00
     72   1.673594e+01   1.063986e-01   1.703850e+00   0.000000e+00   0.000000e+00
     73   1.692344e+01   1.086784e-01   1.685985e+00   0.000000e+00   0.000000e+00
     74   1.711094e+01   1.109825e-01   1.668501e+00   0.000000e+00   0.000000e+00
     75   1.729844e+01   1.133110e-01   1.651386e+00   0.000000e+00   0.000000e+00
     76   1.748594e+01   1.156638e-01   1.634631e+00   0.000000e+00   0.000000e+00
     77   1.767344e+01   1.180410e-01   1.618223e+00   0.000000e+00   0.000000e+00
     78   1.786094e+01   1.204425e-01   1.602153e+00   0.000000e+00   0.000000e+00
     79   1.804844e+01   1.228685e-01   1.586410e+00   0.000000e+00   0.000000e+00
     80   1.823594e+01   1.253189e-01   1.570986e+00   0.000000e+00   0.000000e+00
     81   1.842344e+01   1.277938e-01   1.555872e+00   0.000000e+00   0.000000e+00
     82   1.861094e+01   1.302931e-01   1.541059e+00   0.000000e+00   0.000000e+00
     83   1.879844e+01   1.328170e-01   1.526538e+00   0.000000e+00   0.000000e+00
     84   1.898594e+01   1.353654e-01   1.512301e+00   0.000000e+00   0.000000e+00
