# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   5.506310e-03   0.000000e+00   2.053747e-03   6
  4.442883e-02   2.763444e-02   0.000000e+00   6.036395e-03   12
  5.802164e-02   3.739955e-02   4.165766e-03   7.170631e-03   14
  7.360057e-02   6.782960e-02   3.352421e-03   7.994250e-03   48
  9.270775e-02   8.122518e-02   2.435008e-03   8.845963e-03   42
  1.017704e-01   8.034899e-02   2.424479e-03   1.118791e-02   48
  1.153929e-01   1.168908e-01   2.906092e-03   1.263757e-02   80
  1.307755e-01   1.741191e-01   2.256064e-03   1.443714e-02   90
  1.425441e-01   1.635629e-01   3.543669e-03   1.657410e-02   120
  1.582527e-01   2.077617e-01   2.464158e-03   1.651568e-02   126
  1.688432e-01   2.310158e-01   3.154548e-03   2.056392e-02   152
  1.836782e-01   2.637233e-01   3.159459e-03   1.847349e-02   186
  1.984188e-01   3.070909e-01   4.320525e-03   1.868370e-02   264
  2.103968e-01   3.685385e-01   2.329274e-03   2.690108e-02   168
  2.256796e-01   3.781023e-01   4.166516e-03   2.054572e-02   386
  2.384685e-01   3.025650e-01   2.522415e-03   2.013954e-02   192
  2.510516e-01   4.360607e-01   4.136055e-03   2.082761e-02   390
  2.651879e-01   3.919943e-01   4.330201e-03   2.102911e-02   396
  2.784685e-01   4.890417e-01   4.297623e-03   2.623977e-02   398
  2.930683e-01   5.084583e-01   4.203503e-03   2.026769e-02   576
  3.074355e-01   5.284948e-01   4.268936e-03   2.583954e-02   444
  3.196306e-01   6.642515e-01   3.633305e-03   2.708694e-02   558
  3.339439e-01   6.253942e-01   4.431845e-03   2.508511e-02   680
  3.482695e-01   6.857981e-01   3.737612e-03   2.770529e-02   654
  3.606702e-01   7.336511e-01   3.098283e-03   2.844346e-02   636
  3.744701e-01   7.537595e-01   4.625996e-03   2.542123e-02   822
  3.874721e-01   8.044907e-01   3.413739e-03   2.767293e-02   800
  4.008383e-01   8.462925e-01   3.425402e-03   3.224013e-02   804
  4.144585e-01   8.726456e-01   4.248130e-03   2.972701e-02   1038
  4.276450e-01   9.442271e-01   3.327722e-03   3.051690e-02   936
  4.419378e-01   9.018772e-01   3.846286e-03   2.550496e-02   1130
  4.548921e-01   1.009353e+00   3.615260e-03   3.017138e-02   1104
  4.691124e-01   1.063942e+00   4.008065e-03   3.103566e-02   1230
  4.821164e-01   1.160177e+00   4.056757e-03   3.192559e-02   1260
  4.953275e-01   1.107561e+00   3.524350e-03   2.980440e-02   1286
  5.102690e-01   1.095826e+00   4.314822e-03   2.659637e-02   1728
  5.244277e-01   1.246982e+00   3.776779e-03   3.483497e-02   1392
  5.378841e-01   1.338035e+00   3.611560e-03   3.361611e-02   1626
  5.516772e-01   1.258284e+00   4.176112e-03   3.165789e-02   1760
  5.655257e-01   1.317671e+00   3.476948e-03   3.128916e-02   1686
  5.785810e-01   1.394570e+00   3.624350e-03   3.376593e-02   1812
  5.917556e-01   1.459446e+00   3.946744e-03   3.232594e-02   1814
  6.054204e-01   1.515566e+00   3.824700e-03   3.256708e-02   2208
  6.193001e-01   1.544941e+00   3.672349e-03   3.560819e-02   1956
  6.331106e-01   1.572759e+00   4.113541e-03   3.142267e-02   2454
  6.464857e-01   1.723160e+00   3.232255e-03   3.874587e-02   2016
  6.600246e-01   1.815908e+00   4.250694e-03   3.629502e-02   2570
  6.734642e-01   1.845879e+00   3.674585e-03   3.827811e-02   2400
  6.869599e-01   1.930521e+00   4.165537e-03   3.910832e-02   2526
  7.003842e-01   1.911635e+00   4.183440e-03   3.678451e-02   2840
  7.144275e-01   1.940503e+00   3.954639e-03   3.796223e-02   2820
  7.283394e-01   2.013575e+00   4.001183e-03   3.681911e-02   2958
  7.415388e-01   2.126690e+00   4.046069e-03   3.739192e-02   2976
  7.554540e-01   2.141052e+00   4.042208e-03   3.942835e-02   3186
  7.684962e-01   2.274214e+00   3.846112e-03   4.020872e-02   3128
  7.826392e-01   2.268206e+00   4.125155e-03   3.780906e-02   3606
  7.961215e-01   2.360191e+00   3.786344e-03   4.189200e-02   3276
  8.090174e-01   2.397682e+00   3.971636e-03   4.125904e-02   3480
  8.225598e-01   2.439295e+00   3.784476e-03   3.801082e-02   3758
  8.357786e-01   2.530417e+00   3.799764e-03   4.043750e-02   3744
  8.498520e-01   2.637729e+00   3.854902e-03   4.202111e-02   4170
  8.633049e-01   2.639775e+00   3.798313e-03   4.155947e-02   3984
  8.770071e-01   2.800379e+00   3.926232e-03   4.463333e-02   4334
  8.905275e-01   2.739744e+00   3.529674e-03   4.069707e-02   4284
  9.038804e-01   2.878820e+00   3.916433e-03   4.456024e-02   4374
  9.178385e-01   2.888315e+00   4.059177e-03   3.965472e-02   5016
  9.315884e-01   2.990319e+00   3.852497e-03   4.491133e-02   4580
  9.452952e-01   3.094569e+00   3.966708e-03   4.477430e-02   5142
  9.592763e-01   3.133781e+00   3.910943e-03   4.447333e-02   5184
  9.729633e-01   3.243759e+00   3.939164e-03   4.656690e-02   5058
  9.861190e-01   3.367940e+00   3.769886e-03   4.449164e-02   5384
  1.000186e+00   3.361059e+00   4.035866e-03   4.563742e-02   5622
  1.013753e+00   3.445127e+00   3.904870e-03   4.350684e-02   5736
  1.027283e+00   3.539974e+00   3.647351e-03   4.718300e-02   5612
  1.040858e+00   3.655663e+00   3.845168e-03   4.873279e-02   6054
  1.054301e+00   3.634158e+00   3.830035e-03   4.650044e-02   6096
  1.068351e+00   3.819564e+00   4.010733e-03   4.773724e-02   6474
  1.081347e+00   3.877011e+00   3.667309e-03   4.937281e-02   6024
  1.095246e+00   3.891641e+00   4.065639e-03   4.560808e-02   7070
  1.109016e+00   3.980023e+00   3.717857e-03   5.004284e-02   6516
  1.122225e+00   4.096289e+00   4.039916e-03   4.930420e-02   6936
