# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   1.437442e-02   0.000000e+00   5.440205e-03   6
  4.442883e-02   7.208487e-02   0.000000e+00   1.564902e-02   12
  5.802164e-02   9.378992e-02   4.165766e-03   1.708048e-02   14
  7.360057e-02   1.794511e-01   3.352421e-03   2.030434e-02   48
  9.270775e-02   2.170178e-01   2.435008e-03   2.419155e-02   42
  1.017704e-01   2.132995e-01   2.424479e-03   2.868379e-02   48
  1.153929e-01   3.170067e-01   2.906092e-03   3.243560e-02   80
  1.307755e-01   4.515618e-01   2.256064e-03   3.830639e-02   90
  1.425441e-01   4.285839e-01   3.543669e-03   4.258063e-02   120
  1.582527e-01   5.375966e-01   2.464158e-03   4.250459e-02   126
  1.688432e-01   6.487220e-01   3.154548e-03   5.728377e-02   152
  1.836782e-01   7.221301e-01   3.159459e-03   4.935991e-02   186
  1.984188e-01   8.407560e-01   4.320525e-03   4.837326e-02   264
  2.103968e-01   1.007133e+00   2.329274e-03   6.901598e-02   168
  2.256796e-01   1.095321e+00   4.166516e-03   6.035701e-02   386
  2.384685e-01   9.108704e-01   2.522415e-03   6.581453e-02   192
  2.510516e-01   1.375870e+00   4.136055e-03   6.933319e-02   390
  2.651879e-01   1.286715e+00   4.330201e-03   6.666864e-02   396
  2.784685e-01   1.479850e+00   4.297623e-03   7.491407e-02   398
  2.930683e-01   1.556498e+00   4.203503e-03   6.300137e-02   576
  3.074355e-01   1.479725e+00   4.268936e-03   6.986777e-02   444
  3.196306e-01   2.120256e+00   3.633305e-03   8.327682e-02   558
  3.339439e-01   2.028633e+00   4.431845e-03   7.393402e-02   680
  3.482695e-01   2.190498e+00   3.737612e-03   9.289735e-02   654
  3.606702e-01   2.247854e+00   3.098283e-03   8.728192e-02   636
  3.744701e-01   2.551930e+00   4.625996e-03   8.373333e-02   822
  3.874721e-01   2.793248e+00   3.413739e-03   9.555383e-02   800
  4.008383e-01   2.871984e+00   3.425402e-03   1.032070e-01   804
  4.144585e-01   3.318225e+00   4.248130e-03   1.097867e-01   1038
  4.276450e-01   3.220407e+00   3.327722e-03   1.039302e-01   936
  4.419378e-01   3.249857e+00   3.846286e-03   9.479621e-02   1130
