# power spectrum of delta
# redshift z=0.980902
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   5.690003e-03   0.000000e+00   2.123458e-03   6
  4.442883e-02   2.856176e-02   0.000000e+00   6.236355e-03   12
  5.802164e-02   3.862487e-02   4.165766e-03   7.393300e-03   14
  7.360057e-02   7.016336e-02   3.352421e-03   8.260749e-03   48
  9.270775e-02   8.404418e-02   2.435008e-03   9.144728e-03   42
  1.017704e-01   8.311502e-02   2.424479e-03   1.156569e-02   48
  1.153929e-01   1.209942e-01   2.906092e-03   1.306274e-02   80
  1.307755e-01   1.800048e-01   2.256064e-03   1.492564e-02   90
  1.425441e-01   1.691329e-01   3.543669e-03   1.714107e-02   120
  1.582527e-01   2.147676e-01   2.464158e-03   1.707771e-02   126
  1.688432e-01   2.394931e-01   3.154548e-03   2.130637e-02   152
  1.836782e-01   2.731761e-01   3.159459e-03   1.911340e-02   186
  1.984188e-01   3.181567e-01   4.320525e-03   1.930361e-02   264
  2.103968e-01   3.815016e-01   2.329274e-03   2.779608e-02   168
  2.256796e-01   3.925114e-01   4.166516e-03   2.137506e-02   386
  2.384685e-01   3.135198e-01   2.522415e-03   2.091649e-02   192
  2.510516e-01   4.538622e-01   4.136055e-03   2.169496e-02   390
  2.651879e-01   4.081852e-01   4.330201e-03   2.190656e-02   396
  2.784685e-01   5.080148e-01   4.297623e-03   2.723088e-02   398
  2.930683e-01   5.274095e-01   4.203503e-03   2.100541e-02   576
  3.074355e-01   5.475320e-01   4.268936e-03   2.675384e-02   444
  3.196306e-01   6.911777e-01   3.633305e-03   2.823293e-02   558
  3.339439e-01   6.508932e-01   4.431845e-03   2.603607e-02   680
  3.482695e-01   7.135948e-01   3.737612e-03   2.892016e-02   654
  3.606702e-01   7.639967e-01   3.098283e-03   2.961766e-02   636
  3.744701e-01   7.870474e-01   4.625996e-03   2.649798e-02   822
  3.874721e-01   8.408282e-01   3.413739e-03   2.899430e-02   800
  4.008383e-01   8.833714e-01   3.425402e-03   3.368778e-02   804
  4.144585e-01   9.127348e-01   4.248130e-03   3.101924e-02   1038
  4.276450e-01   9.861914e-01   3.327722e-03   3.182817e-02   936
  4.419378e-01   9.413963e-01   3.846286e-03   2.664632e-02   1130
  4.548921e-01   1.055323e+00   3.615260e-03   3.153138e-02   1104
  4.691124e-01   1.110071e+00   4.008065e-03   3.240932e-02   1230
  4.821164e-01   1.212911e+00   4.056757e-03   3.336478e-02   1260
  4.953275e-01   1.159640e+00   3.524350e-03   3.127997e-02   1286
  5.102690e-01   1.147530e+00   4.314822e-03   2.783263e-02   1728
  5.244277e-01   1.303680e+00   3.776779e-03   3.654883e-02   1392
  5.378841e-01   1.405434e+00   3.611560e-03   3.524033e-02   1626
  5.516772e-01   1.318833e+00   4.176112e-03   3.312982e-02   1760
  5.655257e-01   1.383358e+00   3.476948e-03   3.284595e-02   1686
  5.785810e-01   1.461832e+00   3.624350e-03   3.535377e-02   1812
  5.917556e-01   1.532129e+00   3.946744e-03   3.392403e-02   1814
  6.054204e-01   1.590448e+00   3.824700e-03   3.404965e-02   2208
  6.193001e-01   1.620826e+00   3.672349e-03   3.738390e-02   1956
  6.331106e-01   1.650881e+00   4.113541e-03   3.296585e-02   2454
  6.464857e-01   1.808743e+00   3.232255e-03   4.047641e-02   2016
  6.600246e-01   1.909433e+00   4.250694e-03   3.815210e-02   2570
  6.734642e-01   1.941601e+00   3.674585e-03   4.011927e-02   2400
  6.869599e-01   2.038019e+00   4.165537e-03   4.130022e-02   2526
  7.003842e-01   2.009742e+00   4.183440e-03   3.863288e-02   2840
  7.144275e-01   2.042272e+00   3.954639e-03   3.997368e-02   2820
  7.283394e-01   2.119849e+00   4.001183e-03   3.889155e-02   2958
  7.415388e-01   2.243159e+00   4.046069e-03   3.941848e-02   2976
  7.554540e-01   2.256453e+00   4.042208e-03   4.157207e-02   3186
  7.684962e-01   2.399240e+00   3.846112e-03   4.251449e-02   3128
  7.826392e-01   2.391453e+00   4.125155e-03   3.990776e-02   3606
  7.961215e-01   2.487392e+00   3.786344e-03   4.416950e-02   3276
  8.090174e-01   2.523336e+00   3.971636e-03   4.342480e-02   3480
  8.225598e-01   2.572552e+00   3.784476e-03   4.016627e-02   3758
  8.357786e-01   2.674703e+00   3.799764e-03   4.264508e-02   3744
  8.498520e-01   2.784435e+00   3.854902e-03   4.429540e-02   4170
  8.633049e-01   2.788941e+00   3.798313e-03   4.387290e-02   3984
  8.770071e-01   2.953566e+00   3.926232e-03   4.703869e-02   4334
  8.905275e-01   2.898387e+00   3.529674e-03   4.316392e-02   4284
  9.038804e-01   3.044087e+00   3.916433e-03   4.713371e-02   4374
  9.178385e-01   3.052161e+00   4.059177e-03   4.190622e-02   5016
  9.315884e-01   3.163899e+00   3.852497e-03   4.753308e-02   4580
  9.452952e-01   3.266837e+00   3.966708e-03   4.742558e-02   5142
  9.592763e-01   3.310167e+00   3.910943e-03   4.698935e-02   5184
  9.729633e-01   3.422030e+00   3.939164e-03   4.925655e-02   5058
  9.861190e-01   3.551757e+00   3.769886e-03   4.689251e-02   5384
  1.000186e+00   3.546542e+00   4.035866e-03   4.828802e-02   5622
  1.013753e+00   3.644902e+00   3.904870e-03   4.598190e-02   5736
  1.027283e+00   3.747173e+00   3.647351e-03   4.998615e-02   5612
  1.040858e+00   3.874987e+00   3.845168e-03   5.167725e-02   6054
  1.054301e+00   3.849873e+00   3.830035e-03   4.930861e-02   6096
  1.068351e+00   4.050609e+00   4.010733e-03   5.057571e-02   6474
  1.081347e+00   4.114894e+00   3.667309e-03   5.238498e-02   6024
  1.095246e+00   4.129560e+00   4.065639e-03   4.835583e-02   7070
  1.109016e+00   4.220704e+00   3.717857e-03   5.310826e-02   6516
  1.122225e+00   4.349303e+00   4.039916e-03   5.244073e-02   6936
  1.135977e+00   4.421124e+00   3.839772e-03   5.271322e-02   7070
  1.149314e+00   4.307774e+00   4.091678e-03   5.108184e-02   7284
  1.163464e+00   4.582911e+00   4.073978e-03   5.105080e-02   7878
  1.177130e+00   4.612344e+00   3.909712e-03   5.328481e-02   7344
  1.190321e+00   4.678148e+00   4.084811e-03   5.198332e-02   7646
  1.204111e+00   4.851915e+00   4.038054e-03   5.228312e-02   8460
  1.217997e+00   4.793938e+00   3.926378e-03   5.446621e-02   7920
  1.231156e+00   5.090737e+00   3.721931e-03   5.608055e-02   8118
  1.244553e+00   4.919569e+00   4.024635e-03   5.308775e-02   8548
  1.258178e+00   4.997277e+00   3.921185e-03   5.413892e-02   8710
  1.271691e+00   5.232492e+00   3.764707e-03   5.515068e-02   8928
  1.285561e+00   5.333021e+00   4.047597e-03   5.699759e-02   9186
  1.298846e+00   5.351716e+00   3.750366e-03   5.525528e-02   9168
  1.312565e+00   5.398591e+00   3.864081e-03   5.345507e-02   9470
  1.325964e+00   5.558471e+00   3.802716e-03   5.751669e-02   9564
  1.339705e+00   5.612945e+00   3.996268e-03   5.514161e-02   10296
  1.353676e+00   5.735039e+00   3.842834e-03   5.655896e-02   9974
  1.366862e+00   5.909228e+00   3.854101e-03   5.854109e-02   10176
  1.380980e+00   5.873503e+00   4.068810e-03   5.515460e-02   11082
  1.394750e+00   5.997542e+00   3.959255e-03   5.744236e-02   10632
  1.408193e+00   6.042738e+00   3.889692e-03   5.795818e-02   10718
  1.421788e+00   6.111973e+00   3.905400e-03   5.727092e-02   11292
  1.435384e+00   6.311997e+00   3.993093e-03   5.851082e-02   11352
  1.449104e+00   6.269997e+00   3.785706e-03   5.879351e-02   11550
  1.462441e+00   6.410480e+00   3.952267e-03   5.880874e-02   11564
  1.476107e+00   6.465344e+00   3.952073e-03   5.871095e-02   12246
  1.489723e+00   6.423064e+00   3.772425e-03   5.923723e-02   12096
  1.503400e+00   6.555046e+00   4.087643e-03   5.790283e-02   12582
  1.516919e+00   6.624551e+00   3.787547e-03   5.925574e-02   12612
  1.530766e+00   6.877235e+00   4.098583e-03   5.972497e-02   13328
  1.544314e+00   6.762405e+00   3.674401e-03   6.171947e-02   12654
  1.557593e+00   7.011459e+00   3.885118e-03   6.086296e-02   13236
  1.571003e+00   7.094300e+00   3.956485e-03   6.108224e-02   13270
  1.584639e+00   7.030583e+00   4.050033e-03   5.842136e-02   14512
  1.598830e+00   7.117470e+00   4.069077e-03   5.955493e-02   14226
  1.612168e+00   7.227641e+00   3.908672e-03   6.303329e-02   14088
  1.625624e+00   7.384089e+00   3.879336e-03   6.204848e-02   14208
  1.639178e+00   7.447034e+00   4.071732e-03   6.171695e-02   15074
  1.652966e+00   7.583942e+00   4.075022e-03   6.146054e-02   15480
  1.666752e+00   7.644872e+00   3.843772e-03   6.288458e-02   14862
  1.679789e+00   7.556249e+00   3.927431e-03   6.159946e-02   15232
  1.693506e+00   7.691012e+00   3.931524e-03   6.123379e-02   16018
  1.706973e+00   7.818791e+00   3.816759e-03   6.213230e-02   15720
  1.720412e+00   8.074309e+00   3.911029e-03   6.361932e-02   16296
  1.734261e+00   8.069704e+00   3.879045e-03   6.178958e-02   17010
  1.747710e+00   8.205789e+00   3.776189e-03   6.401467e-02   16328
  1.761238e+00   8.209412e+00   3.711062e-03   6.127099e-02   17094
  1.774811e+00   8.138399e+00   3.924532e-03   6.188020e-02   17436
  1.788534e+00   8.259859e+00   3.989493e-03   6.107564e-02   17862
  1.802314e+00   8.488782e+00   3.866890e-03   6.222555e-02   18200
  1.816191e+00   8.533306e+00   4.099167e-03   6.316231e-02   18450
  1.829771e+00   8.660562e+00   3.838324e-03   6.379558e-02   18384
  1.843323e+00   8.646765e+00   3.923486e-03   6.326120e-02   18504
  1.856855e+00   8.903786e+00   3.885045e-03   6.385254e-02   19142
  1.870661e+00   8.796628e+00   3.895698e-03   6.223883e-02   19692
  1.884317e+00   8.808136e+00   3.914843e-03   6.412837e-02   19062
  1.897677e+00   8.989683e+00   3.958747e-03   6.278297e-02   20184
  1.911496e+00   8.936026e+00   3.897574e-03   6.356753e-02   19970
  1.924963e+00   9.219553e+00   3.909731e-03   6.383810e-02   20496
  1.938839e+00   9.176708e+00   4.023732e-03   6.229857e-02   21456
  1.952332e+00   9.183765e+00   3.635348e-03   6.565534e-02   19650
  1.965583e+00   9.419856e+00   4.039758e-03   6.374233e-02   22040
  1.979557e+00   9.464297e+00   3.828807e-03   6.344852e-02   21558
  1.993024e+00   9.387402e+00   3.951337e-03   6.407226e-02   21804
  2.006530e+00   9.436631e+00   3.912103e-03   6.373653e-02   21846
  2.020013e+00   9.654795e+00   3.927065e-03   6.439658e-02   22496
  2.033563e+00   9.716459e+00   3.987707e-03   6.431443e-02   22776
  2.047479e+00   9.786231e+00   3.994392e-03   6.297966e-02   23874
  2.061145e+00   9.786073e+00   4.027768e-03   6.469047e-02   23120
  2.074737e+00   1.004146e+01   3.956099e-03   6.482470e-02   23958
  2.088373e+00   1.014049e+01   3.906756e-03   6.637880e-02   23892
  2.101727e+00   1.008575e+01   3.924859e-03   6.592566e-02   23550
  2.115216e+00   1.011071e+01   3.968932e-03   6.346304e-02   25296
  2.128915e+00   1.026047e+01   3.924347e-03   6.458505e-02   24452
  2.142311e+00   1.020617e+01   3.835662e-03   6.425694e-02   25254
  2.156023e+00   1.045726e+01   3.969357e-03   6.516287e-02   26016
  2.169543e+00   1.035136e+01   3.782439e-03   6.500608e-02   25182
  2.183190e+00   1.036440e+01   3.967911e-03   6.297207e-02   27428
  2.197036e+00   1.057252e+01   3.811822e-03   6.587961e-02   25974
  2.210356e+00   1.051118e+01   3.861453e-03   6.306463e-02   26904
  2.223881e+00   1.049038e+01   3.824751e-03   6.512758e-02   26730
  2.237420e+00   1.064728e+01   3.914440e-03   6.410372e-02   27896
  2.251310e+00   1.080092e+01   4.054409e-03   6.327673e-02   28992
  2.265347e+00   1.063979e+01   3.954062e-03   6.270925e-02   28698
  2.278737e+00   1.089596e+01   3.843600e-03   6.582774e-02   27776
  2.292429e+00   1.067219e+01   3.995766e-03   6.162489e-02   29814
  2.306139e+00   1.090860e+01   3.915312e-03   6.420172e-02   29148
  2.319524e+00   1.082673e+01   3.875582e-03   6.403124e-02   28806
  2.333025e+00   1.100440e+01   3.958903e-03   6.245839e-02   30408
  2.346651e+00   1.091602e+01   3.963675e-03   6.252731e-02   30320
  2.360383e+00   1.092317e+01   3.835440e-03   6.221771e-02   30930
