# power spectrum of delta
# redshift z=-0.005754
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   1.721166e-02   0.000000e+00   6.547099e-03   6
  4.442883e-02   8.640404e-02   0.000000e+00   1.869975e-02   12
  5.802164e-02   1.115879e-01   4.165766e-03   2.006783e-02   14
  7.360057e-02   2.168504e-01   3.352421e-03   2.429772e-02   48
  9.270775e-02   2.633580e-01   2.435008e-03   2.995297e-02   42
  1.017704e-01   2.589535e-01   2.424479e-03   3.440739e-02   48
  1.153929e-01   3.857887e-01   2.906092e-03   3.887394e-02   80
  1.307755e-01   5.458301e-01   2.256064e-03   4.687573e-02   90
  1.425441e-01   5.215492e-01   3.543669e-03   5.115262e-02   120
  1.582527e-01   6.527740e-01   2.464158e-03   5.149861e-02   126
  1.688432e-01   8.010647e-01   3.154548e-03   7.101423e-02   152
  1.836782e-01   8.917608e-01   3.159459e-03   6.136216e-02   186
  1.984188e-01   1.041316e+00   4.320525e-03   5.985004e-02   264
  2.103968e-01   1.248009e+00   2.329274e-03   8.468805e-02   168
  2.256796e-01   1.373331e+00   4.166516e-03   7.470319e-02   386
  2.384685e-01   1.185571e+00   2.522415e-03   8.713595e-02   192
  2.510516e-01   1.772747e+00   4.136055e-03   9.018300e-02   390
  2.651879e-01   1.680208e+00   4.330201e-03   8.510051e-02   396
  2.784685e-01   1.906098e+00   4.297623e-03   9.505639e-02   398
  2.930683e-01   2.046303e+00   4.203503e-03   8.366237e-02   576
  3.074355e-01   1.913657e+00   4.268936e-03   8.977033e-02   444
  3.196306e-01   2.777814e+00   3.633305e-03   1.072986e-01   558
  3.339439e-01   2.687059e+00   4.431845e-03   9.857504e-02   680
  3.482695e-01   2.924108e+00   3.737612e-03   1.214089e-01   654
  3.606702e-01   2.945592e+00   3.098283e-03   1.153683e-01   636
  3.744701e-01   3.424267e+00   4.625996e-03   1.130854e-01   822
  3.874721e-01   3.717248e+00   3.413739e-03   1.267513e-01   800
  4.008383e-01   3.896150e+00   3.425402e-03   1.353420e-01   804
  4.144585e-01   4.576480e+00   4.248130e-03   1.525195e-01   1038
  4.276450e-01   4.433772e+00   3.327722e-03   1.430434e-01   936
  4.419378e-01   4.529777e+00   3.846286e-03   1.277506e-01   1130
  4.548921e-01   5.104555e+00   3.615260e-03   1.534976e-01   1104
  4.691124e-01   5.015471e+00   4.008065e-03   1.461724e-01   1230
  4.821164e-01   5.752550e+00   4.056757e-03   1.517164e-01   1260
  4.953275e-01   6.066706e+00   3.524350e-03   1.772244e-01   1286
  5.102690e-01   6.081965e+00   4.314822e-03   1.447771e-01   1728
  5.244277e-01   6.766663e+00   3.776779e-03   1.761351e-01   1392
  5.378841e-01   6.841003e+00   3.611560e-03   1.692334e-01   1626
  5.516772e-01   7.257644e+00   4.176112e-03   1.688892e-01   1760
  5.655257e-01   7.455537e+00   3.476948e-03   1.755945e-01   1686
  5.785810e-01   7.759290e+00   3.624350e-03   1.820302e-01   1812
  5.917556e-01   8.314329e+00   3.946744e-03   1.968517e-01   1814
  6.054204e-01   8.794899e+00   3.824700e-03   1.764175e-01   2208
  6.193001e-01   9.016460e+00   3.672349e-03   2.128201e-01   1956
  6.331106e-01   9.485474e+00   4.113541e-03   1.939414e-01   2454
  6.464857e-01   9.998851e+00   3.232255e-03   2.165406e-01   2016
  6.600246e-01   9.948242e+00   4.250694e-03   1.949040e-01   2570
  6.734642e-01   1.069485e+01   3.674585e-03   2.179321e-01   2400
  6.869599e-01   1.089538e+01   4.165537e-03   2.231991e-01   2526
  7.003842e-01   1.086914e+01   4.183440e-03   2.007596e-01   2840
  7.144275e-01   1.164309e+01   3.954639e-03   2.124670e-01   2820
  7.283394e-01   1.261133e+01   4.001183e-03   2.277626e-01   2958
  7.415388e-01   1.384383e+01   4.046069e-03   2.497445e-01   2976
  7.554540e-01   1.391140e+01   4.042208e-03   2.445471e-01   3186
