# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   1.428656e-02   0.000000e+00   5.438210e-03   6
  4.442883e-02   7.164517e-02   0.000000e+00   1.564365e-02   12
  5.802164e-02   9.324780e-02   4.165766e-03   1.707521e-02   14
  7.360057e-02   1.783343e-01   3.352421e-03   2.029765e-02   48
  9.270775e-02   2.156408e-01   2.435008e-03   2.418152e-02   42
  1.017704e-01   2.119502e-01   2.424479e-03   2.867335e-02   48
  1.153929e-01   3.149716e-01   2.906092e-03   3.242446e-02   80
  1.307755e-01   4.487927e-01   2.256064e-03   3.829151e-02   90
  1.425441e-01   4.258975e-01   3.543669e-03   4.256528e-02   120
  1.582527e-01   5.342602e-01   2.464158e-03   4.248688e-02   126
  1.688432e-01   6.443950e-01   3.154548e-03   5.726023e-02   152
  1.836782e-01   7.173663e-01   3.159459e-03   4.933870e-02   186
  1.984188e-01   8.352010e-01   4.320525e-03   4.835236e-02   264
  2.103968e-01   1.000387e+00   2.329274e-03   6.898819e-02   168
  2.256796e-01   1.087715e+00   4.166516e-03   6.032989e-02   386
  2.384685e-01   9.036701e-01   2.522415e-03   6.577879e-02   192
  2.510516e-01   1.365316e+00   4.136055e-03   6.929566e-02   390
  2.651879e-01   1.276343e+00   4.330201e-03   6.663669e-02   396
  2.784685e-01   1.468664e+00   4.297623e-03   7.487686e-02   398
  2.930683e-01   1.543973e+00   4.203503e-03   6.296639e-02   576
  3.074355e-01   1.468752e+00   4.268936e-03   6.983403e-02   444
  3.196306e-01   2.103305e+00   3.633305e-03   8.323393e-02   558
  3.339439e-01   2.012104e+00   4.431845e-03   7.389400e-02   680
  3.482695e-01   2.172300e+00   3.737612e-03   9.284748e-02   654
  3.606702e-01   2.230731e+00   3.098283e-03   8.723036e-02   636
  3.744701e-01   2.530549e+00   4.625996e-03   8.368179e-02   822
  3.874721e-01   2.770539e+00   3.413739e-03   9.550358e-02   800
  4.008383e-01   2.847467e+00   3.425402e-03   1.031543e-01   804
  4.144585e-01   3.287448e+00   4.248130e-03   1.097123e-01   1038
  4.276450e-01   3.192126e+00   3.327722e-03   1.038623e-01   936
  4.419378e-01   3.219813e+00   3.846286e-03   9.472924e-02   1130
  4.548921e-01   3.721039e+00   3.615260e-03   1.112950e-01   1104
  4.691124e-01   3.563206e+00   4.008065e-03   1.028075e-01   1230
  4.821164e-01   4.076536e+00   4.056757e-03   1.077919e-01   1260
