Galaxy_ID,N_points,Has_bulge,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,chi2_reduced_nuisance_GOD,Yd_fit,Yb_fit,fd_fit,RMS_pct_strict,a0_m_s2
CamB,9,0,156.2683,172.1996,44.6459,0.25,0.7,1.15,66.26,1.042115e-10
D512-2,4,0,10.2229,12.8546,0.2444,0.55,0.7,1.025,26.53,1.042115e-10
D564-8,6,0,29.1241,35.0179,3.3995,0.25,0.7,1.15,35.27,1.042115e-10
D631-7,16,0,41.1804,49.5135,12.2255,0.25,0.7,1.15,29.28,1.042115e-10
DDO064,14,0,1.3082,1.8425,0.2666,0.55,0.7,0.95,16.83,1.042115e-10
DDO154,12,0,25.8317,38.0045,0.4318,0.25,0.7,1.025,18.15,1.042115e-10
DDO161,31,0,148.0188,188.9091,52.0633,0.25,0.7,1.15,32.14,1.042115e-10
DDO168,10,0,39.204,50.1531,16.2844,0.25,0.7,1.15,22.51,1.042115e-10
DDO170,8,0,181.5736,238.3839,52.5669,0.25,0.7,1.15,23.95,1.042115e-10
ESO079-G014,15,0,40.0924,57.4375,3.78,0.75,0.7,0.85,18.37,1.042115e-10
ESO116-G012,15,0,7.4701,10.3617,4.9565,0.85,0.7,0.85,12.21,1.042115e-10
ESO444-G084,7,0,24.9727,19.174,15.1936,1.35,0.7,0.85,21.36,1.042115e-10
ESO563-G021,30,0,22.157,25.7766,18.1521,0.95,0.7,1.1,21.35,1.042115e-10
F561-1,6,0,66.9805,75.4464,10.9409,0.25,0.7,1.15,48.29,1.042115e-10
F563-1,17,0,1.7238,1.3839,1.704,0.95,0.7,0.85,22.37,1.042115e-10
F563-V1,6,0,45.3647,50.5956,21.5297,0.25,0.7,1.15,56.49,1.042115e-10
F563-V2,10,0,2.1236,1.6994,1.6725,1.05,0.7,0.85,23.47,1.042115e-10
F565-V2,7,0,0.6155,0.3553,1.6991,0.65,0.7,0.85,13.15,1.042115e-10
F567-2,5,0,15.4257,18.2126,2.6511,0.45,0.7,1.05,38.58,1.042115e-10
F568-1,12,0,3.2676,2.5601,1.5525,1.15,0.7,0.85,26.48,1.042115e-10
F568-3,18,0,7.0363,8.6545,2.8759,0.65,0.7,0.95,21.59,1.042115e-10
F568-V1,15,0,3.9565,3.1335,0.7147,1.25,0.7,0.85,20.68,1.042115e-10
F571-8,13,0,72.146,75.7391,49.0071,0.65,0.7,0.85,37.23,1.042115e-10
F571-V1,7,0,2.6358,4.066,0.2669,0.55,0.7,0.975,17.48,1.042115e-10
F574-1,14,0,3.6043,5.678,2.1679,0.85,0.7,0.975,13.78,1.042115e-10
F574-2,5,0,32.0878,35.4819,14.3099,0.25,0.7,1.15,63.5,1.042115e-10
