Galaxy_ID,N_points,Has_bulge,N_params_fitted,Yd_MAP,Yb_MAP,fd_MAP,chi2_data_MAP,chi2_prior_penalty,chi2_total_MAP,chi2_reduced_nuisance,chi2_reduced_strict_GOD,chi2_reduced_strict_MOND,RMS_pct_strict
CamB,9,0,2,0.25,,1.15,312.5213,6.25,318.7713,44.6459,156.2683,172.1996,66.26
D512-2,4,0,2,0.55,,1.025,0.4888,0.2225,0.7113,0.2444,10.2229,12.8546,26.53
D564-8,6,0,2,0.25,,1.15,13.5981,6.25,19.8481,3.3995,29.1241,35.0179,35.27
D631-7,16,0,2,0.25,,1.15,171.1572,6.25,177.4072,12.2255,41.1804,49.5135,29.28
DDO064,14,0,2,0.55,,0.95,3.1994,0.41,3.6094,0.2666,1.3082,1.8425,16.83
DDO154,12,0,2,0.25,,1.025,4.3184,4.0625,8.3809,0.4318,25.8317,38.0045,18.15
DDO161,31,0,2,0.25,,1.15,1509.8361,6.25,1516.0861,52.0633,148.0188,188.9091,32.14
DDO168,10,0,2,0.25,,1.15,130.2754,6.25,136.5254,16.2844,39.204,50.1531,22.51
DDO170,8,0,2,0.25,,1.15,315.4014,6.25,321.6514,52.5669,181.5736,238.3839,23.95
ESO079-G014,15,0,2,0.75,,0.85,49.1397,6.25,55.3897,3.78,40.0924,57.4375,18.37
ESO116-G012,15,0,2,0.85,,0.85,64.4349,10.09,74.5249,4.9565,7.4701,10.3617,12.21
ESO444-G084,7,0,2,1.35,,0.85,75.9682,48.49,124.4582,15.1936,24.9727,19.174,21.36
ESO563-G021,30,0,2,0.95,,1.1,508.2601,13.96,522.2201,18.1521,22.157,25.7766,21.35
F561-1,6,0,2,0.25,,1.15,43.7635,6.25,50.0135,10.9409,66.9805,75.4464,48.29
F563-1,17,0,2,0.95,,0.85,25.5602,15.21,40.7702,1.704,1.7238,1.3839,22.37
F563-V1,6,0,2,0.25,,1.15,86.1189,6.25,92.3689,21.5297,45.3647,50.5956,56.49
F563-V2,10,0,2,1.05,,0.85,13.3801,21.61,34.9901,1.6725,2.1236,1.6994,23.47
F565-V2,7,0,2,0.65,,0.85,8.4954,3.69,12.1854,1.6991,0.6155,0.3553,13.15
F567-2,5,0,2,0.45,,1.05,7.9532,0.41,8.3632,2.6511,15.4257,18.2126,38.58
F568-1,12,0,2,1.15,,0.85,15.5252,29.29,44.8152,1.5525,3.2676,2.5601,26.48
F568-3,18,0,2,0.65,,0.95,46.0137,1.69,47.7037,2.8759,7.0363,8.6545,21.59
F568-V1,15,0,2,1.25,,0.85,9.2909,38.25,47.5409,0.7147,3.9565,3.1335,20.68
F571-8,13,0,2,0.65,,0.85,539.0779,3.69,542.7679,49.0071,72.146,75.7391,37.23
F571-V1,7,0,2,0.55,,0.975,1.3345,0.2225,1.557,0.2669,2.6358,4.066,17.48
F574-1,14,0,2,0.85,,0.975,26.0152,7.9025,33.9177,2.1679,3.6043,5.678,13.78
F574-2,5,0,2,0.25,,1.15,42.9297,6.25,49.1797,14.3099,32.0878,35.4819,63.5
F579-V1,14,0,2,0.85,,0.95,32.7526,8.09,40.8426,2.7294,2.3162,2.7113,18.6
F583-1,25,0,2,0.95,,1.0,47.5194,12.96,60.4794,2.0661,1.8264,2.0764,20.88
F583-4,12,0,2,0.65,,1.05,1.3417,1.69,3.0317,0.1342,9.6926,12.7044,20.96
IC2574,34,0,2,0.25,,1.15,25.6473,6.25,31.8973,0.8015,146.7041,177.9098,33.72
IC4202,32,1,3,0.85,0.65,0.9,916.2423,8.9216,925.164,31.5946,106.831,120.4062,23.67
KK98-251,15,0,2,0.25,,1.15,180.0161,6.25,186.2661,13.8474,34.3082,41.0822,38.96
NGC0024,29,0,2,1.05,,0.85,19.8557,21.61,41.4657,0.7354,1.8048,1.1107,12.69
NGC0055,21,0,2,0.25,,1.15,23.2884,6.25,29.5384,1.2257,87.1633,107.1548,26.79
NGC0100,21,0,2,0.65,,0.9,29.8724,2.44,32.3124,1.5722,12.9503,16.3977,25.28
NGC0247,26,0,2,0.75,,0.975,87.0243,4.0625,91.0868,3.626,26.5877,38.6545,14.14
NGC0289,28,0,2,0.65,,1.15,123.1486,3.69,126.8386,4.7365,45.6073,59.0659,21.58
NGC0300,25,0,2,0.75,,0.85,36.1705,6.25,42.4205,1.5726,4.904,7.4677,11.02
NGC0801,13,0,2,0.65,,1.15,351.6669,3.69,355.3569,31.9697,420.0397,487.8411,28.33
NGC0891,18,1,3,0.65,0.55,0.85,141.4464,4.4247,145.8711,9.4298,577.9021,639.2992,28.84
NGC1003,36,0,2,0.55,,0.875,164.4085,1.7225,166.131,4.8355,59.7808,83.3494,17.28
NGC1090,24,0,2,0.65,,1.15,121.7794,3.69,125.4694,5.5354,267.9208,328.8417,27.99
NGC1705,14,0,2,1.15,,0.85,11.4759,29.29,40.7659,0.9563,5.1244,3.5367,17.88
NGC2366,26,0,2,0.25,,1.15,77.8928,6.25,84.1428,3.2455,41.5898,52.4334,29.86
NGC2403,73,0,2,0.75,,0.85,768.4294,6.25,774.6794,10.8229,114.8043,145.7734,14.68
