=== Fetching SPARC Dataset (CWRU) ===
Target directory: /app/conversations/6aa12914931b46bec45608e7/o5_run/sparc_data
Manifest: /app/conversations/6aa12914931b46bec45608e7/res-nova/VERIFICATION_RUN_001/02_sparc_strict_135/RAW_DATA_MANIFEST.sha256
Downloading https://astroweb.cwru.edu/SPARC/Rotmod_LTG.zip ...
  % Total    % Received % Xferd  Average Speed   Time    Time     Time  Current
                                 Dload  Upload   Total   Spent    Left  Speed
  0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0100  108k  100  108k    0     0   683k      0 --:--:-- --:--:-- --:--:--  684k
Extracting /app/conversations/6aa12914931b46bec45608e7/o5_run/sparc_data/Rotmod_LTG.zip ...
unzip not found; falling back to python3 zipfile
Extracted 175 *_rotmod.dat files.
Verifying SHA-256 checksums against manifest...
CamB_rotmod.dat: OK
D512-2_rotmod.dat: OK
D564-8_rotmod.dat: OK
D631-7_rotmod.dat: OK
DDO064_rotmod.dat: OK
DDO154_rotmod.dat: OK
DDO161_rotmod.dat: OK
DDO168_rotmod.dat: OK
DDO170_rotmod.dat: OK
ESO079-G014_rotmod.dat: OK
ESO116-G012_rotmod.dat: OK
ESO444-G084_rotmod.dat: OK
ESO563-G021_rotmod.dat: OK
F561-1_rotmod.dat: OK
F563-1_rotmod.dat: OK
F563-V1_rotmod.dat: OK
F563-V2_rotmod.dat: OK
F565-V2_rotmod.dat: OK
F567-2_rotmod.dat: OK
F568-1_rotmod.dat: OK
F568-3_rotmod.dat: OK
F568-V1_rotmod.dat: OK
F571-8_rotmod.dat: OK
F571-V1_rotmod.dat: OK
F574-1_rotmod.dat: OK
F574-2_rotmod.dat: OK
F579-V1_rotmod.dat: OK
F583-1_rotmod.dat: OK
F583-4_rotmod.dat: OK
IC2574_rotmod.dat: OK
IC4202_rotmod.dat: OK
KK98-251_rotmod.dat: OK
NGC0024_rotmod.dat: OK
NGC0055_rotmod.dat: OK
NGC0100_rotmod.dat: OK
NGC0247_rotmod.dat: OK
NGC0289_rotmod.dat: OK
NGC0300_rotmod.dat: OK
NGC0801_rotmod.dat: OK
NGC0891_rotmod.dat: OK
NGC1003_rotmod.dat: OK
NGC1090_rotmod.dat: OK
NGC1705_rotmod.dat: OK
NGC2366_rotmod.dat: OK
NGC2403_rotmod.dat: OK
NGC2683_rotmod.dat: OK
NGC2841_rotmod.dat: OK
NGC2903_rotmod.dat: OK
NGC2915_rotmod.dat: OK
NGC2955_rotmod.dat: OK
